endpoint,endpoint_string,n_1,n_2,n_3,n_4,n_5,n_6,n_7,n_8,n_9,n_10,ratio_1,ratio_2,ratio_3,ratio_4,ratio_5,ratio_6,ratio_7,ratio_8,ratio_9,ratio_10,ratio,phecode_category
phecode_618-6,"Vaginal enterocele, congenital or acquired",22,23,30,33,41,44,68,96,123,289,8.059198476078834e-4,8.427069211885831e-4,0.0010992232155943133,0.001209278463849903,0.0015024919378481385,0.0016124894638472533,0.002492303181351708,0.003518803606773697,0.004508632381510942,0.0105942299937681,13.14551319863098,Genitourinary
phecode_679-7,"Abnormal granulation tissue, NOS",57,80,123,167,205,224,258,294,453,749,0.0011356843992827257,0.0015940065354267952,0.002450833881283998,0.0033276875560426422,0.004085048721678656,0.004463840895956637,0.0051415930967137645,0.00585949177877429,0.009028940444869649,0.014929538161015768,13.145851233357568,Derm
phecode_706,Other inflammatory spondylopathies,116,159,191,214,291,352,412,590,816,1525,0.0023237644984875497,0.003185351390335764,0.0038265050585996195,0.0042875460811027406,0.005830378072969886,0.007053118800969804,0.008255685803025749,0.011823884246177278,0.016353033126916373,0.030562347188264057,13.152084562853048,Musc/Skel
phecode_446,Hypotension,498,686,900,1188,1515,1569,1993,2576,3489,6555,0.009978960024045688,0.01374749498997996,0.018037518037518036,0.023810478213813283,0.03036558967369518,0.03144792752345065,0.039949486850545224,0.05163566388710712,0.06993946197329912,0.13140485927351456,13.168191771174184,Cardio
phecode_386-41,Scotoma,11,20,36,41,47,50,67,72,74,145,2.1916279811121515e-4,3.984778147476639e-4,7.17288648907131e-4,8.169446270946659e-4,9.36516159885227e-4,9.963136395337252e-4,0.0013351666965584583,0.0014348631897805855,0.0014748086734693877,0.0028900005979311584,13.186547273705706,Eye
phecode_211-21,Primary adrenocortical insufficiency,11,8,7,14,14,12,15,26,25,145,2.1895776105736693e-4,1.5925785837994945e-4,1.3935617447393043e-4,2.7871234894786087e-4,2.7872344661450556e-4,2.3891056781078282e-4,2.986501015410345e-4,5.177014057584326e-4,4.97819550369382e-4,0.002887468387199554,13.187330621466472,Endo
phecode_120-13,Erythroid,10,21,23,28,25,35,34,37,64,132,1.9910799617712648e-4,4.1815176918022344e-4,4.5798486658701714e-4,5.575689991636465e-4,4.978691201656908e-4,6.970445311877639e-4,6.771559450308703e-4,7.369049990041825e-4,0.0012746972594008922,0.0026292201971915147,13.204995518374663,Neoplasms
phecode_513-3,Duodenal ulcer,74,117,185,216,257,279,330,442,598,978,0.0014934711094068498,0.0023613465730201017,0.0037340545777490713,0.004359937023131888,0.005187727089220832,0.005632267441860465,0.006661821705426356,0.008923163887430856,0.012073490813648294,0.019746406073332258,13.221819926047838,GI
phecode_375-6,Ocular hypertension,110,273,348,397,499,508,633,634,810,1457,0.0021998680079195246,0.005459781608735651,0.006959860802783944,0.00794,0.009980399215968638,0.010160609636578194,0.012661772648170744,0.012682282810905963,0.016203240648129627,0.029149327784891165,13.250489429344665,Eye
phecode_665-2,Psoriatic arthropathy,49,42,35,41,52,66,78,86,139,650,9.777706828431178e-4,8.381560566753143e-4,6.985051988744088e-4,8.18281608621894e-4,0.0010378620042712013,0.0013172863900365248,0.0015568240788790867,0.001716566866267465,0.0027747280167681404,0.012975346841002097,13.270337379387326,Derm
phecode_467-2,Chronic laryngitis and tracheitis,7,10,15,12,14,27,43,32,39,93,1.3948390953472152e-4,1.9927464030927423e-4,2.9893578859261033e-4,2.3915816326530612e-4,2.7902897915254915e-4,5.381487682372639e-4,8.570688246198003e-4,6.378313733306757e-4,7.773724810141721e-4,0.0018538821887770357,13.291011091967935,Resp
phecode_168-1,Hypo-coagulability,83,90,155,183,181,302,350,465,589,1103,0.0016591040837947509,0.0017990285245967177,0.003098326903472125,0.0036580977891496422,0.0036183355656398057,0.006037947097986685,0.006998040548646379,0.009297954450020995,0.01177764447110578,0.022056470964645657,13.294205698172629,Blood
