endpoint,phecode_string,phecode_category,Age+Sex_aou,Age+Sex+MedicalHistory_aou,delta_agesex_aou,delta_median_agesex_aou,sign_agesex_aou,num_incident_events
phecode_287-1,Schizophrenia,Mental,"0.686 (0.666, 0.709)","0.766 (0.748, 0.78)","0.079 (0.052, 0.11)",0.079,+,794
phecode_287-2,Schizoaffective disorder,Mental,"0.659 (0.638, 0.69)","0.776 (0.749, 0.793)","0.114 (0.092, 0.141)",0.114,+,670
phecode_287-4,Delusional disorders,Mental,"0.601 (0.586, 0.627)","0.764 (0.735, 0.787)","0.163 (0.126, 0.195)",0.163,+,497
phecode_287-5,Drug-induced psychotic disorder,Mental,"0.658 (0.62, 0.691)","0.745 (0.717, 0.801)","0.088 (0.046, 0.147)",0.088,+,321
phecode_288,Anxiety disorders,Mental,"0.575 (0.571, 0.581)","0.624 (0.616, 0.631)","0.048 (0.04, 0.058)",0.048,+,15085
phecode_288-2,Panic disorder [episodic paroxysmal anxiety],Mental,"0.619 (0.606, 0.634)","0.709 (0.691, 0.722)","0.09 (0.063, 0.109)",0.09,+,2027
phecode_288-3,Generalized anxiety disorder,Mental,"0.593 (0.587, 0.602)","0.653 (0.646, 0.666)","0.06 (0.048, 0.07)",0.06,+,6009
phecode_288-4,Phobic disorders,Mental,"0.537 (0.516, 0.555)","0.686 (0.66, 0.699)","0.15 (0.112, 0.172)",0.15,+,1108
phecode_288-41,Agoraphobia,Mental,"0.628 (0.587, 0.671)","0.787 (0.743, 0.828)","0.158 (0.116, 0.21)",0.158,+,159
phecode_289,Obsessive-compulsive disorder,Mental,"0.638 (0.607, 0.681)","0.731 (0.698, 0.762)","0.093 (0.037, 0.136)",0.093,+,368
phecode_290,"Reaction to severe stress, and adjustment disorders",Mental,"0.554 (0.55, 0.561)","0.645 (0.635, 0.651)","0.089 (0.077, 0.098)",0.089,+,7404
phecode_290-1,Posttraumatic stress disorder,Mental,"0.627 (0.618, 0.635)","0.732 (0.721, 0.746)","0.104 (0.089, 0.118)",0.104,+,2773
phecode_291,"Dissociative, conversion and factitious disorders",Mental,"0.586 (0.55, 0.617)","0.773 (0.742, 0.789)","0.187 (0.153, 0.213)",0.187,+,584
phecode_292,Somatoform disorders,Mental,"0.553 (0.54, 0.57)","0.732 (0.716, 0.747)","0.18 (0.158, 0.196)",0.18,+,1579
phecode_293,Eating disorders,Mental,"0.607 (0.587, 0.624)","0.683 (0.664, 0.704)","0.079 (0.046, 0.106)",0.079,+,979
phecode_293-4,Polyphagia,Mental,"0.58 (0.525, 0.632)","0.715 (0.667, 0.767)","0.131 (0.054, 0.221)",0.131,+,141
phecode_294,Sexual dysfunction and disorders,Mental,"0.66 (0.649, 0.67)","0.693 (0.681, 0.702)","0.033 (0.027, 0.042)",0.033,+,3844
phecode_296,Specific personality disorders,Mental,"0.647 (0.627, 0.671)","0.767 (0.749, 0.784)","0.119 (0.094, 0.15)",0.119,+,1018
phecode_296-4,Borderline personality disorder,Mental,"0.709 (0.684, 0.738)","0.811 (0.782, 0.825)","0.1 (0.065, 0.136)",0.1,+,514
phecode_299,"Mental disorder, not otherwise specified",Mental,"0.552 (0.549, 0.557)","0.534 (0.529, 0.541)","-0.018 (-0.027, -0.01)",-0.018,-,18180
phecode_308,Signs and symptoms involving emotional state,Mental,"0.597 (0.588, 0.608)","0.651 (0.639, 0.664)","0.053 (0.034, 0.069)",0.053,+,3592
phecode_308-1,Irritability,Mental,"0.587 (0.559, 0.611)","0.678 (0.64, 0.714)","0.089 (0.057, 0.14)",0.089,+,316
phecode_308-3,Emotional lability,Mental,"0.548 (0.52, 0.59)","0.677 (0.645, 0.709)","0.128 (0.075, 0.163)",0.128,+,327
phecode_308-7,Restlessness and agitation*,Mental,"0.615 (0.591, 0.633)","0.711 (0.69, 0.735)","0.093 (0.065, 0.141)",0.093,+,819
phecode_320,Meningitis,Neuro,"0.529 (0.49, 0.553)","0.705 (0.663, 0.746)","0.18 (0.128, 0.223)",0.18,+,225
phecode_320-3,Meningitis NOS,Neuro,"0.53 (0.489, 0.557)","0.702 (0.657, 0.736)","0.174 (0.116, 0.21)",0.174,+,221
phecode_321,"Encephalitis, myelitis and encephalomyelitis",Neuro,"0.534 (0.507, 0.633)","0.71 (0.66, 0.767)","0.171 (0.09, 0.251)",0.171,+,156
phecode_322,Other CNS infection,Neuro,"0.582 (0.521, 0.637)","0.647 (0.596, 0.692)","0.071 (0.002, 0.147)",0.071,+,140
phecode_323,Systemic atrophies primarily affecting the central nervous system,Neuro,"0.683 (0.644, 0.719)","0.741 (0.706, 0.782)","0.06 (0.012, 0.097)",0.06,+,188
phecode_323-3,Motor neuron disease,Neuro,"0.69 (0.632, 0.748)","0.711 (0.649, 0.772)","0.025 (-0.017, 0.066)",0.025,ns,113
phecode_324,Extrapyramidal and movement disorders,Neuro,"0.605 (0.598, 0.612)","0.704 (0.695, 0.709)","0.098 (0.089, 0.109)",0.098,+,5536
phecode_324-1,Parkinsonism,Neuro,"0.774 (0.756, 0.794)","0.825 (0.806, 0.851)","0.05 (0.036, 0.065)",0.05,+,526
phecode_324-11,Parkinson's disease (Primary),Neuro,"0.817 (0.798, 0.835)","0.852 (0.835, 0.877)","0.035 (0.021, 0.05)",0.035,+,453
phecode_324-12,Secondary parkinsonism,Neuro,"0.634 (0.557, 0.73)","0.816 (0.757, 0.867)","0.183 (0.136, 0.234)",0.183,+,124
