endpoint,phecode_string,phecode_category,Age+Sex_aou,Age+Sex+MedicalHistory_aou,delta_agesex_aou,delta_median_agesex_aou,sign_agesex_aou,num_incident_events
phecode_149,Benign neoplasm of the endocrine glands,Neoplasms,"0.577 (0.548, 0.598)","0.683 (0.646, 0.707)","0.108 (0.048, 0.135)",0.108,+,571
phecode_149-3,Benign neoplasm of the parathyroid gland,Neoplasms,"0.653 (0.593, 0.693)","0.789 (0.733, 0.83)","0.14 (0.054, 0.204)",0.14,+,127
phecode_149-4,Benign neoplasm of the pituitary gland and craniopharyngeal duct,Neoplasms,"0.567 (0.525, 0.608)","0.504 (0.461, 0.54)","-0.064 (-0.089, -0.042)",-0.064,-,232
phecode_153,Benign neoplasm of other or unspecified sites,Neoplasms,"0.593 (0.589, 0.597)","0.623 (0.617, 0.628)","0.03 (0.023, 0.035)",0.03,+,13174
phecode_160,Nutritional anemias,Blood,"0.55 (0.541, 0.556)","0.675 (0.665, 0.684)","0.124 (0.113, 0.133)",0.124,+,7483
phecode_160-1,Iron deficiency anemia,Blood,"0.55 (0.539, 0.557)","0.67 (0.66, 0.679)","0.121 (0.108, 0.131)",0.121,+,6763
phecode_160-2,Megaloblastic anemia,Blood,"0.634 (0.61, 0.663)","0.731 (0.707, 0.753)","0.094 (0.064, 0.129)",0.094,+,720
phecode_160-4,Other deficiency anemia,Blood,"0.636 (0.623, 0.65)","0.738 (0.726, 0.75)","0.101 (0.084, 0.118)",0.101,+,1578
phecode_161,Hemolytic anemias,Blood,"0.545 (0.511, 0.584)","0.756 (0.713, 0.796)","0.211 (0.14, 0.248)",0.211,+,191
phecode_161-1,Intrinsic (hereditary) hemolytic anemias,Blood,"0.545 (0.514, 0.584)","0.761 (0.719, 0.802)","0.216 (0.145, 0.253)",0.216,+,189
phecode_161-2,Extrinsic (acquired) hemolytic anemias,Blood,"0.584 (0.514, 0.635)","0.767 (0.734, 0.83)","0.178 (0.126, 0.259)",0.178,+,122
phecode_162,Aplastic anemia,Blood,"0.626 (0.606, 0.649)","0.788 (0.77, 0.802)","0.162 (0.141, 0.188)",0.162,+,1057
phecode_162-8,Pancytopenia,Blood,"0.625 (0.604, 0.647)","0.767 (0.744, 0.781)","0.143 (0.117, 0.167)",0.143,+,1037
phecode_164,Anemia,Blood,"0.531 (0.525, 0.537)","0.626 (0.621, 0.632)","0.096 (0.09, 0.104)",0.096,+,13829
phecode_164-1,Microcytic anemia,Blood,"0.55 (0.539, 0.557)","0.67 (0.66, 0.679)","0.121 (0.108, 0.131)",0.121,+,6763
phecode_164-2,Macrocytic anemia,Blood,"0.636 (0.623, 0.65)","0.732 (0.721, 0.747)","0.095 (0.078, 0.114)",0.095,+,1578
phecode_164-3,Acute posthemorrhagic anemia,Blood,"0.554 (0.535, 0.565)","0.683 (0.668, 0.692)","0.129 (0.117, 0.142)",0.129,+,3431
phecode_164-6,Anemia secondary to chronic diseases and conditions,Blood,"0.539 (0.531, 0.55)","0.655 (0.644, 0.664)","0.116 (0.094, 0.133)",0.116,+,5071
phecode_164-62,Anemia in neoplastic disease,Blood,"0.672 (0.651, 0.69)","0.843 (0.827, 0.856)","0.171 (0.151, 0.188)",0.171,+,601
phecode_165,Hemoglobinopathies,Blood,"0.601 (0.572, 0.623)","0.578 (0.555, 0.606)","-0.025 (-0.059, 0.024)",-0.025,ns,639
phecode_165-2,Thalassemia,Blood,"0.676 (0.632, 0.729)","0.615 (0.548, 0.657)","-0.066 (-0.16, 0.006)",-0.066,ns,180
phecode_165-25,Thalassemia minor,Blood,"0.698 (0.629, 0.755)","0.608 (0.542, 0.661)","-0.092 (-0.174, 0.016)",-0.092,ns,127
phecode_165-3,Hemoglobin C trait [Sickle-cell trait],Blood,"0.703 (0.672, 0.734)","0.624 (0.576, 0.66)","-0.083 (-0.134, -0.031)",-0.083,-,217
phecode_168,"Coagulation defects, purpura and other hemorrhagic conditions",Blood,"0.601 (0.592, 0.61)","0.71 (0.698, 0.723)","0.11 (0.1, 0.122)",0.11,+,4482
phecode_168-1,Hypo-coagulability,Blood,"0.656 (0.642, 0.675)","0.733 (0.72, 0.752)","0.077 (0.06, 0.1)",0.077,+,1538
phecode_168-12,Hemorrhagic disorder due to intrinsic circulating anticoagulants,Blood,"0.718 (0.684, 0.757)","0.886 (0.863, 0.908)","0.168 (0.134, 0.198)",0.168,+,256
phecode_168-15,Acquired coagulation factor deficiency,Blood,"0.595 (0.555, 0.643)","0.806 (0.769, 0.845)","0.214 (0.142, 0.255)",0.214,+,223
phecode_168-18,Other nonthrombocytopenic purpura,Blood,"0.727 (0.702, 0.755)","0.757 (0.739, 0.781)","0.033 (0.014, 0.055)",0.033,+,697
phecode_168-19,Spontaneous ecchymoses,Blood,"0.603 (0.568, 0.642)","0.696 (0.676, 0.726)","0.091 (0.063, 0.142)",0.091,+,403
phecode_168-2,Hyper-coagulability,Blood,"0.544 (0.521, 0.559)","0.274 (0.253, 0.295)","-0.269 (-0.297, -0.241)",-0.269,-,952
phecode_168-21,Primary hypercoagulable state [Primary thrombophilia],Blood,"0.545 (0.526, 0.56)","0.272 (0.251, 0.288)","-0.272 (-0.295, -0.241)",-0.272,-,864
phecode_168-211,Activated protein C resistance*,Blood,"0.556 (0.515, 0.578)","0.706 (0.645, 0.759)","0.149 (0.098, 0.216)",0.149,+,224
phecode_168-214,Antiphospholipid syndrome*,Blood,"0.59 (0.547, 0.633)","0.797 (0.753, 0.83)","0.203 (0.146, 0.266)",0.203,+,254
phecode_168-4,Abnormal coagulation profile,Blood,"0.626 (0.612, 0.637)","0.775 (0.758, 0.79)","0.149 (0.126, 0.163)",0.149,+,1371
phecode_169,Platelet defects,Blood,"0.619 (0.609, 0.627)","0.711 (0.698, 0.72)","0.093 (0.082, 0.104)",0.093,+,3453
phecode_169-1,Thrombocytopenia,Blood,"0.621 (0.61, 0.63)","0.713 (0.698, 0.722)","0.093 (0.082, 0.105)",0.093,+,3410
phecode_169-11,Immune thrombocytopenic purpura [ITP],Blood,"0.568 (0.516, 0.642)","0.723 (0.67, 0.782)","0.159 (0.078, 0.233)",0.159,+,160
phecode_169-14,Secondary thrombocytopenia,Blood,"0.571 (0.548, 0.595)","0.742 (0.724, 0.775)","0.169 (0.152, 0.204)",0.169,+,946
phecode_170,Decreased white blood cell count,Blood,"0.569 (0.557, 0.579)","0.666 (0.654, 0.681)","0.098 (0.081, 0.115)",0.098,+,2526
phecode_170-1,Neutropenia,Blood,"0.565 (0.55, 0.58)","0.662 (0.649, 0.678)","0.098 (0.08, 0.117)",0.098,+,2304
phecode_170-19,Neutropenia NOS,Blood,"0.566 (0.546, 0.587)","0.667 (0.642, 0.693)","0.101 (0.077, 0.122)",0.101,+,958
phecode_170-2,Lymphocytopenia,Blood,"0.584 (0.555, 0.615)","0.709 (0.672, 0.742)","0.125 (0.09, 0.174)",0.125,+,356
phecode_171,Increased white blood cell count,Blood,"0.541 (0.532, 0.554)","0.649 (0.635, 0.656)","0.108 (0.094, 0.117)",0.108,+,5094
phecode_171-1,Lymphocytosis (symptomatic),Blood,"0.594 (0.552, 0.638)","0.666 (0.626, 0.702)","0.074 (0.015, 0.118)",0.074,+,272
phecode_171-7,Eosinophilia,Blood,"0.546 (0.506, 0.594)","0.723 (0.693, 0.75)","0.173 (0.125, 0.222)",0.173,+,298
phecode_171-9,Elevated white blood cell count [Leukocytosis] NOS,Blood,"0.541 (0.532, 0.554)","0.666 (0.651, 0.672)","0.126 (0.11, 0.136)",0.126,+,5059
phecode_172,Other disorders of white blood cells,Blood,"0.55 (0.544, 0.563)","0.661 (0.653, 0.668)","0.11 (0.099, 0.119)",0.11,+,7171
phecode_172-2,Genetic anomalies of leukocytes,Blood,"0.602 (0.56, 0.656)","0.711 (0.659, 0.768)","0.109 (0.03, 0.174)",0.109,+,171
phecode_174,Diseases of spleen,Blood,"0.561 (0.542, 0.589)","0.768 (0.747, 0.784)","0.206 (0.182, 0.232)",0.206,+,1290
phecode_174-2,Splenomegaly,Blood,"0.571 (0.545, 0.601)","0.787 (0.765, 0.805)","0.213 (0.186, 0.242)",0.213,+,982
phecode_174-7,Infarction of spleen*,Blood,"0.538 (0.51, 0.593)","0.769 (0.723, 0.839)","0.231 (0.164, 0.314)",0.231,+,120
phecode_175,Polycythemias,Blood,"0.614 (0.587, 0.634)","0.696 (0.67, 0.723)","0.084 (0.056, 0.108)",0.084,+,516
phecode_175-2,Secondary polycythemia,Blood,"0.613 (0.586, 0.633)","0.701 (0.674, 0.724)","0.09 (0.064, 0.116)",0.09,+,511
phecode_176,Other diseases of blood and blood-forming organs,Blood,"0.522 (0.515, 0.528)","0.588 (0.584, 0.592)","0.066 (0.059, 0.072)",0.066,+,17963
phecode_177,Abnormality of the lymph nodes,Blood,"0.569 (0.557, 0.579)","0.674 (0.665, 0.682)","0.106 (0.095, 0.117)",0.106,+,5279
phecode_177-1,Lymphadenitis,Blood,"0.551 (0.516, 0.596)","0.642 (0.611, 0.679)","0.087 (0.049, 0.131)",0.087,+,315
phecode_177-2,Enlargement of lymph nodes [Lymphadenopathy],Blood,"0.553 (0.538, 0.566)","0.657 (0.646, 0.666)","0.104 (0.091, 0.117)",0.104,+,4463
phecode_177-4,Lymphedema,Blood,"0.645 (0.628, 0.666)","0.788 (0.775, 0.802)","0.141 (0.117, 0.162)",0.141,+,1232
phecode_179,Immunodeficiencies,Blood,"0.567 (0.55, 0.586)","0.824 (0.808, 0.835)","0.257 (0.24, 0.281)",0.257,+,2173
phecode_179-1,Hypogammaglobulinemia NOS,Blood,"0.642 (0.606, 0.673)","0.811 (0.786, 0.837)","0.169 (0.135, 0.203)",0.169,+,355
phecode_179-9,Immunodeficiency NOS,Blood,"0.56 (0.542, 0.576)","0.838 (0.825, 0.853)","0.278 (0.262, 0.299)",0.278,+,1916
phecode_180,Other disorders involving the immune mechanism,Blood,"0.567 (0.553, 0.583)","0.751 (0.739, 0.768)","0.185 (0.171, 0.198)",0.185,+,1731
phecode_181,Autoimmune disease,Blood,"0.601 (0.586, 0.609)","0.648 (0.636, 0.658)","0.046 (0.034, 0.061)",0.046,+,3410
phecode_200,Disorders of thyroid gland,Endo,"0.625 (0.616, 0.632)","0.621 (0.614, 0.628)","-0.005 (-0.01, 0.003)",-0.005,ns,7168
phecode_200-1,Hypothyroidism,Endo,"0.624 (0.616, 0.633)","0.655 (0.642, 0.668)","0.031 (0.019, 0.046)",0.031,+,4781
phecode_200-12,Hypothyroidism due to drugs or iatrogenic causes,Endo,"0.699 (0.671, 0.739)","0.793 (0.765, 0.823)","0.097 (0.053, 0.14)",0.097,+,227
phecode_200-13,Postprocedural hypothyroidism,Endo,"0.655 (0.63, 0.675)","0.822 (0.809, 0.836)","0.167 (0.143, 0.189)",0.167,+,1003
phecode_200-14,"Hypothyroidism, not specified as secondary",Endo,"0.623 (0.616, 0.633)","0.655 (0.642, 0.668)","0.031 (0.019, 0.046)",0.031,+,4778
phecode_200-2,Goiter,Endo,"0.634 (0.622, 0.643)","0.649 (0.636, 0.658)","0.015 (0.002, 0.026)",0.015,+,3486
phecode_200-21,Diffuse goiter,Endo,"0.638 (0.625, 0.647)","0.631 (0.62, 0.644)","-0.007 (-0.018, 0.011)",-0.007,ns,3424
phecode_200-22,Uninodular goiter [single thyroid nodule],Endo,"0.648 (0.638, 0.659)","0.687 (0.672, 0.696)","0.038 (0.022, 0.052)",0.038,+,2636
phecode_200-23,Multinodular goiter,Endo,"0.684 (0.665, 0.696)","0.718 (0.704, 0.733)","0.033 (0.019, 0.054)",0.033,+,1736
phecode_200-3,Thyrotoxicosis [hyperthyroidism],Endo,"0.601 (0.587, 0.628)","0.658 (0.638, 0.675)","0.054 (0.032, 0.083)",0.054,+,1101
phecode_200-31,Graves' disease [Toxic diffuse goiter],Endo,"0.606 (0.576, 0.622)","0.681 (0.644, 0.713)","0.078 (0.035, 0.117)",0.078,+,414
phecode_200-4,Thyroiditis,Endo,"0.638 (0.62, 0.659)","0.74 (0.724, 0.758)","0.1 (0.079, 0.128)",0.1,+,1092
phecode_200-41,Hashimoto thyroiditis [Chronic lymphocytic thyroiditis],Endo,"0.647 (0.628, 0.67)","0.754 (0.74, 0.777)","0.108 (0.083, 0.136)",0.108,+,949
phecode_200-7,Iodine-deficiency related thyroid disorders*,Endo,"0.583 (0.549, 0.609)","0.644 (0.61, 0.68)","0.06 (0.018, 0.104)",0.06,+,455
phecode_200-9,Abnormal thyroid function studies,Endo,"0.593 (0.575, 0.608)","0.667 (0.643, 0.689)","0.076 (0.048, 0.098)",0.076,+,853
phecode_202,Diabetes mellitus,Endo,"0.564 (0.558, 0.574)","0.654 (0.647, 0.664)","0.09 (0.084, 0.098)",0.09,+,7653
phecode_202-1,Type 1 diabetes,Endo,"0.552 (0.534, 0.576)","0.851 (0.829, 0.867)","0.297 (0.258, 0.331)",0.297,+,854
phecode_202-2,Type 2 diabetes,Endo,"0.565 (0.56, 0.575)","0.655 (0.648, 0.664)","0.089 (0.083, 0.097)",0.089,+,7618
phecode_202-3,Secondary diabetes,Endo,"0.563 (0.507, 0.596)","0.812 (0.774, 0.846)","0.25 (0.194, 0.301)",0.25,+,193
phecode_202-32,Drug or chemical induced diabetes mellitus*,Endo,"0.562 (0.506, 0.596)","0.81 (0.767, 0.844)","0.247 (0.189, 0.298)",0.247,+,192
phecode_202-4,Other specified diabetes*,Endo,"0.588 (0.575, 0.605)","0.826 (0.805, 0.843)","0.237 (0.215, 0.256)",0.237,+,1354
phecode_203,Metabolic syndrome [Dysmetabolic syndrome X],Endo,"0.533 (0.51, 0.572)","0.708 (0.688, 0.732)","0.174 (0.14, 0.207)",0.174,+,705
phecode_204,Elevated blood glucose level,Endo,"0.593 (0.588, 0.598)","0.656 (0.65, 0.662)","0.063 (0.057, 0.068)",0.063,+,14271
phecode_204-1,Impaired fasting glucose,Endo,"0.639 (0.622, 0.648)","0.7 (0.682, 0.709)","0.061 (0.046, 0.074)",0.061,+,2064
phecode_204-2,Impaired glucose tolerance (oral),Endo,"0.594 (0.57, 0.62)","0.676 (0.651, 0.696)","0.082 (0.056, 0.099)",0.082,+,712
phecode_204-4,Prediabetes*,Endo,"0.598 (0.591, 0.61)","0.675 (0.665, 0.681)","0.077 (0.06, 0.089)",0.077,+,5781
phecode_205,Hypoglycemia,Endo,"0.554 (0.541, 0.572)","0.811 (0.799, 0.821)","0.256 (0.243, 0.268)",0.256,+,2497
phecode_208,Disorders of parathyroid gland,Endo,"0.649 (0.636, 0.667)","0.82 (0.809, 0.831)","0.171 (0.15, 0.186)",0.171,+,1933
phecode_208-1,Hypoparathyroidism,Endo,"0.62 (0.582, 0.661)","0.837 (0.803, 0.861)","0.218 (0.164, 0.259)",0.218,+,257
phecode_208-2,Hyperparathyroidism,Endo,"0.653 (0.641, 0.673)","0.825 (0.812, 0.837)","0.169 (0.15, 0.188)",0.169,+,1887
phecode_208-21,Primary hyperparathyroidism,Endo,"0.712 (0.686, 0.735)","0.754 (0.72, 0.785)","0.043 (0.015, 0.085)",0.043,+,382
phecode_208-22,Secondary hyperparathyroidism,Endo,"0.637 (0.623, 0.656)","0.878 (0.866, 0.888)","0.241 (0.223, 0.265)",0.241,+,1220
phecode_209,Disorders of the pituitary gland and its hypothalamic control,Endo,"0.527 (0.501, 0.544)","0.639 (0.622, 0.661)","0.111 (0.097, 0.128)",0.111,+,1093
phecode_209-1,Pituitary hyperfunction,Endo,"0.554 (0.526, 0.574)","0.677 (0.654, 0.706)","0.121 (0.099, 0.141)",0.121,+,653
phecode_209-12,Syndrome of inappropriate secretion of antidiuretic hormone,Endo,"0.662 (0.643, 0.683)","0.764 (0.742, 0.785)","0.098 (0.077, 0.124)",0.098,+,438
phecode_209-13,Hyperprolactinemia*,Endo,"0.662 (0.613, 0.709)","0.69 (0.635, 0.741)","0.029 (-0.053, 0.11)",0.029,ns,187
phecode_209-2,Hypopituitarism,Endo,"0.584 (0.534, 0.64)","0.285 (0.236, 0.326)","-0.3 (-0.37, -0.234)",-0.3,-,180
phecode_209-22,Hypopituitarism NOS,Endo,"0.602 (0.553, 0.656)","0.258 (0.196, 0.328)","-0.347 (-0.413, -0.278)",-0.347,-,149
phecode_210,Cushing's syndrome,Endo,"0.623 (0.571, 0.662)","0.721 (0.654, 0.774)","0.098 (0.026, 0.181)",0.098,+,101
phecode_211,Disorders of adrenal glands,Endo,"0.597 (0.583, 0.615)","0.703 (0.688, 0.715)","0.105 (0.092, 0.122)",0.105,+,1594
phecode_211-2,Adrenocortical insufficiency,Endo,"0.571 (0.552, 0.596)","0.774 (0.755, 0.797)","0.203 (0.176, 0.232)",0.203,+,603
phecode_211-21,Primary adrenocortical insufficiency,Endo,"0.583 (0.508, 0.641)","0.801 (0.743, 0.859)","0.221 (0.13, 0.35)",0.221,+,100
phecode_214,Ovarian dysfunction,Endo,"0.538 (0.521, 0.559)","0.689 (0.677, 0.7)","0.149 (0.131, 0.17)",0.149,+,2026
phecode_214-1,Primary ovarian failure,Endo,"0.716 (0.703, 0.731)","0.683 (0.671, 0.699)","-0.031 (-0.052, -0.007)",-0.031,-,1301
phecode_214-11,Premature menopause,Endo,"0.514 (0.492, 0.56)","0.715 (0.67, 0.754)","0.198 (0.138, 0.258)",0.198,+,165
phecode_215,Testicular dysfunction,Endo,"0.53 (0.507, 0.553)","0.703 (0.67, 0.733)","0.175 (0.134, 0.211)",0.175,+,535
phecode_215-1,Testicular hypofunction,Endo,"0.531 (0.508, 0.552)","0.701 (0.67, 0.73)","0.173 (0.133, 0.208)",0.173,+,531
phecode_229,Other endocrine disorders,Endo,"0.575 (0.57, 0.581)","0.567 (0.56, 0.572)","-0.008 (-0.017, -0.002)",-0.008,-,14632
phecode_230,Malnutrition and underweight,Metab,"0.579 (0.574, 0.583)","0.638 (0.632, 0.643)","0.059 (0.054, 0.064)",0.059,+,15865
phecode_230-1,Protein-calorie malnutrition,Metab,"0.58 (0.574, 0.586)","0.582 (0.577, 0.59)","0.002 (-0.006, 0.009)",0.002,ns,14375
phecode_230-2,Abnormal loss of weight and underweight,Metab,"0.585 (0.572, 0.594)","0.674 (0.667, 0.685)","0.09 (0.081, 0.1)",0.09,+,3924
phecode_230-21,Abnormal weight loss,Metab,"0.604 (0.59, 0.615)","0.693 (0.683, 0.7)","0.089 (0.075, 0.098)",0.089,+,3182
phecode_230-22,Underweight,Metab,"0.545 (0.528, 0.565)","0.684 (0.672, 0.7)","0.139 (0.117, 0.153)",0.139,+,1246
phecode_230-3,Anorexia,Metab,"0.602 (0.587, 0.626)","0.72 (0.699, 0.733)","0.118 (0.096, 0.139)",0.118,+,1120
phecode_230-4,Cachexia,Metab,"0.638 (0.617, 0.659)","0.806 (0.778, 0.818)","0.165 (0.139, 0.189)",0.165,+,548
phecode_230-5,Early satiety,Metab,"0.607 (0.581, 0.628)","0.708 (0.686, 0.731)","0.102 (0.073, 0.132)",0.102,+,578
phecode_232,Vitamin deficiencies,Metab,"0.59 (0.584, 0.599)","0.64 (0.633, 0.647)","0.05 (0.037, 0.058)",0.05,+,11771
phecode_232-1,Vitamin A deficiency,Metab,"0.645 (0.601, 0.706)","0.578 (0.519, 0.625)","-0.07 (-0.175, 0.014)",-0.07,ns,117
phecode_232-2,Vitamin B group deficiency,Metab,"0.601 (0.59, 0.612)","0.675 (0.666, 0.685)","0.073 (0.062, 0.084)",0.073,+,4313
phecode_232-27,Vitamin B12 deficiency,Metab,"0.638 (0.609, 0.668)","0.735 (0.711, 0.76)","0.097 (0.064, 0.131)",0.097,+,595
phecode_232-29,Folate deficiency [Vitamin B9],Metab,"0.634 (0.61, 0.663)","0.693 (0.666, 0.708)","0.056 (0.028, 0.084)",0.056,+,720
phecode_232-4,Vitamin D deficiency,Metab,"0.595 (0.588, 0.603)","0.639 (0.633, 0.647)","0.044 (0.03, 0.052)",0.044,+,10231
phecode_234,Other nutritional deficiencies,Metab,"0.58 (0.574, 0.586)","0.603 (0.598, 0.608)","0.023 (0.015, 0.03)",0.023,+,14379
phecode_236,Overweight and obesity,Metab,"0.544 (0.539, 0.55)","0.598 (0.592, 0.604)","0.054 (0.047, 0.063)",0.054,+,14395
phecode_236-1,Obesity,Metab,"0.544 (0.539, 0.55)","0.598 (0.592, 0.604)","0.054 (0.047, 0.063)",0.054,+,14395
phecode_236-11,Morbid obesity,Metab,"0.578 (0.572, 0.584)","0.694 (0.686, 0.702)","0.116 (0.106, 0.129)",0.116,+,6371
phecode_236-2,Localized adiposity,Metab,"0.597 (0.563, 0.626)","0.732 (0.699, 0.758)","0.135 (0.079, 0.18)",0.135,+,424
phecode_237,Abnormal weight gain,Metab,"0.601 (0.59, 0.614)","0.684 (0.674, 0.694)","0.082 (0.067, 0.101)",0.082,+,2316
phecode_239,Hyperlipidemia,Metab,"0.678 (0.674, 0.683)","0.696 (0.69, 0.701)","0.017 (0.014, 0.021)",0.017,+,13723
phecode_239-1,Hypercholesterolemia,Metab,"0.671 (0.667, 0.675)","0.703 (0.697, 0.708)","0.032 (0.027, 0.037)",0.032,+,10087
phecode_239-11,Pure hypercholesterolemia,Metab,"0.66 (0.653, 0.667)","0.685 (0.677, 0.692)","0.025 (0.019, 0.03)",0.025,+,5754
phecode_239-12,Familial hypercholesterolemia*,Metab,"0.599 (0.554, 0.652)","0.666 (0.608, 0.701)","0.061 (-0.04, 0.131)",0.061,ns,208
phecode_239-2,Hyperglyceridemia,Metab,"0.648 (0.642, 0.652)","0.629 (0.622, 0.636)","-0.019 (-0.03, -0.011)",-0.019,-,8233
phecode_239-21,Pure hyperglyceridemia,Metab,"0.551 (0.533, 0.564)","0.652 (0.639, 0.665)","0.102 (0.081, 0.124)",0.102,+,1517
phecode_239-3,Mixed hyperlipidemia,Metab,"0.663 (0.657, 0.668)","0.623 (0.614, 0.63)","-0.041 (-0.052, -0.033)",-0.041,-,7564
phecode_240,Disorders of amino-acid transport and metabolism,Metab,"0.538 (0.511, 0.575)","0.709 (0.684, 0.737)","0.169 (0.134, 0.222)",0.169,+,356
phecode_241,Disorders of carbohydrate metabolism,Metab,"0.595 (0.56, 0.614)","0.685 (0.659, 0.705)","0.093 (0.067, 0.11)",0.093,+,779
phecode_244,Disorders of lipoprotein metabolism and other lipidemias,Metab,"0.593 (0.569, 0.606)","0.658 (0.643, 0.685)","0.067 (0.041, 0.09)",0.067,+,1108
phecode_244-4,"Lipodystrophy, not elsewhere classified",Metab,"0.611 (0.582, 0.637)","0.646 (0.579, 0.698)","0.032 (-0.049, 0.095)",0.032,ns,122
phecode_247,Disorders of mineral metabolism and mineral deficiencies,Metab,"0.568 (0.561, 0.572)","0.676 (0.669, 0.682)","0.109 (0.103, 0.117)",0.109,+,11743
phecode_247-3,Disorder of phosphorus metabolism,Metab,"0.59 (0.58, 0.604)","0.796 (0.782, 0.809)","0.205 (0.188, 0.22)",0.205,+,1926
phecode_247-4,Disorders of magnesium metabolism,Metab,"0.579 (0.567, 0.588)","0.774 (0.763, 0.785)","0.197 (0.184, 0.204)",0.197,+,3053
phecode_247-42,Hypomagnesemia*,Metab,"0.579 (0.568, 0.587)","0.776 (0.766, 0.788)","0.198 (0.188, 0.208)",0.198,+,3080
phecode_247-5,Disorders of calcium metabolism,Metab,"0.632 (0.622, 0.64)","0.704 (0.697, 0.715)","0.072 (0.064, 0.084)",0.072,+,4272
phecode_247-51,Hypocalcemia,Metab,"0.558 (0.542, 0.57)","0.723 (0.711, 0.739)","0.165 (0.141, 0.187)",0.165,+,1461
phecode_247-52,Hypercalcemia,Metab,"0.643 (0.632, 0.657)","0.714 (0.702, 0.728)","0.07 (0.052, 0.087)",0.07,+,1813
phecode_247-7,Disorders of iron metabolism,Metab,"0.55 (0.542, 0.556)","0.666 (0.656, 0.675)","0.117 (0.106, 0.125)",0.117,+,7790
phecode_247-71,Hemochromatosis,Metab,"0.591 (0.537, 0.655)","0.631 (0.598, 0.679)","0.043 (-0.007, 0.105)",0.043,ns,162
phecode_247-72,Iron deficiency,Metab,"0.55 (0.542, 0.558)","0.667 (0.657, 0.675)","0.117 (0.104, 0.126)",0.117,+,7571
phecode_248,"Disorders of plasma-protein metabolism, NEC",Metab,"0.589 (0.572, 0.605)","0.726 (0.706, 0.744)","0.138 (0.107, 0.159)",0.138,+,1090
phecode_249,Amyloidosis,Metab,"0.705 (0.659, 0.742)","0.75 (0.697, 0.796)","0.044 (0.023, 0.075)",0.044,+,204
phecode_251,Disorders of bilirubin excretion,Metab,"0.624 (0.594, 0.657)","0.663 (0.641, 0.688)","0.04 (0.007, 0.069)",0.04,+,772
phecode_251-1,Gilbert syndrome*,Metab,"0.665 (0.597, 0.73)","0.688 (0.634, 0.733)","0.02 (-0.029, 0.097)",0.02,ns,127
phecode_252,Other and unspecified disorders of metabolism,Metab,"0.547 (0.528, 0.563)","0.701 (0.686, 0.717)","0.153 (0.123, 0.181)",0.153,+,952
phecode_256,"Disorders of fluid, electrolyte and acid-base balance",Metab,"0.587 (0.583, 0.592)","0.681 (0.676, 0.685)","0.094 (0.086, 0.098)",0.094,+,12045
phecode_256-1,Hyperosmolality and/or hypernatremia,Metab,"0.63 (0.614, 0.643)","0.795 (0.779, 0.812)","0.166 (0.144, 0.184)",0.166,+,1353
phecode_256-2,Hyposmolality and/or hyponatremia,Metab,"0.617 (0.61, 0.625)","0.732 (0.726, 0.74)","0.114 (0.105, 0.124)",0.114,+,4707
phecode_256-3,Mixed disorder of acid-base balance,Metab,"0.596 (0.587, 0.607)","0.785 (0.777, 0.791)","0.189 (0.173, 0.199)",0.189,+,4577
phecode_256-31,Acidosis,Metab,"0.595 (0.585, 0.606)","0.787 (0.78, 0.794)","0.192 (0.175, 0.201)",0.192,+,4258
phecode_256-32,Alkalosis,Metab,"0.59 (0.568, 0.621)","0.825 (0.81, 0.839)","0.233 (0.195, 0.262)",0.233,+,656
phecode_256-4,Hyperkalemia [Hyperpotassemia],Metab,"0.649 (0.639, 0.661)","0.802 (0.793, 0.81)","0.153 (0.142, 0.164)",0.153,+,3468
phecode_256-5,Hypokalemia [Hypopotassemia],Metab,"0.546 (0.539, 0.552)","0.685 (0.68, 0.692)","0.14 (0.131, 0.147)",0.14,+,6275
phecode_256-6,Fluid overload,Metab,"0.623 (0.608, 0.638)","0.847 (0.835, 0.859)","0.224 (0.21, 0.237)",0.224,+,1874
phecode_256-7,Volume depletion,Metab,"0.56 (0.552, 0.566)","0.692 (0.683, 0.7)","0.132 (0.126, 0.141)",0.132,+,5962
phecode_256-71,Dehydration,Metab,"0.547 (0.535, 0.554)","0.671 (0.663, 0.68)","0.124 (0.115, 0.138)",0.124,+,5169
phecode_280,Substance related disorders,Mental,"0.614 (0.607, 0.619)","0.548 (0.541, 0.555)","-0.065 (-0.075, -0.056)",-0.065,-,10533
phecode_280-1,Alcohol use disorders,Mental,"0.636 (0.628, 0.644)","0.607 (0.595, 0.622)","-0.028 (-0.045, -0.017)",-0.028,-,3808
phecode_280-11,Alcohol abuse,Mental,"0.661 (0.647, 0.669)","0.664 (0.653, 0.679)","0.003 (-0.015, 0.018)",0.003,ns,2649
phecode_280-12,Alcohol dependence,Mental,"0.64 (0.631, 0.65)","0.627 (0.616, 0.644)","-0.011 (-0.025, 0.002)",-0.011,ns,3342
phecode_280-13,Alcoholic liver disease,Mental,"0.64 (0.6, 0.661)","0.858 (0.834, 0.881)","0.217 (0.187, 0.258)",0.217,+,544
phecode_280-14,Alcoholic pancreatitis,Mental,"0.685 (0.637, 0.721)","0.847 (0.812, 0.894)","0.172 (0.116, 0.209)",0.172,+,227
phecode_280-2,Opioid related disorders,Mental,"0.615 (0.599, 0.626)","0.707 (0.694, 0.718)","0.091 (0.074, 0.116)",0.091,+,2976
