endpoint,phecode_string,phecode_category,Age+Sex,Age+Sex+MedicalHistory,delta_agesex,sign_agesex,delta_median_agesex,Age+Sex_aou,Age+Sex+MedicalHistory_aou,delta_agesex_aou,delta_median_agesex_aou,sign_agesex_aou,num_incident_events,sign_agg,label
phecode_440,Embolism and thrombosis,Cardio,"0.602 (0.598, 0.606)","0.643 (0.64, 0.647)","0.042 (0.038, 0.045)",+,0.042,"0.6 (0.591, 0.608)","0.701 (0.694, 0.709)","0.101 (0.092, 0.112)",0.101,+,4999,UKB: + | AoU: +,++
phecode_440-1,Venous thromboembolism,Cardio,"0.57 (0.566, 0.574)","0.642 (0.637, 0.647)","0.072 (0.067, 0.077)",+,0.072,"0.58 (0.569, 0.59)","0.699 (0.69, 0.711)","0.119 (0.106, 0.13)",0.119,+,3552,UKB: + | AoU: +,++
phecode_440-11,Deep vein thrombosis [DVT],Cardio,"0.601 (0.593, 0.609)","0.719 (0.711, 0.725)","0.118 (0.113, 0.125)",+,0.118,"0.61 (0.598, 0.621)","0.708 (0.692, 0.728)","0.097 (0.079, 0.112)",0.097,+,2164,UKB: + | AoU: +,++
phecode_440-12,Portal vein thrombosis,Cardio,"0.637 (0.601, 0.662)","0.738 (0.711, 0.766)","0.102 (0.071, 0.137)",+,0.102,"0.584 (0.541, 0.624)","0.823 (0.769, 0.852)","0.238 (0.168, 0.29)",0.238,+,167,UKB: + | AoU: +,++
phecode_440-13,Phlebitis and thrombophlebitis,Cardio,"0.594 (0.588, 0.598)","0.659 (0.654, 0.665)","0.065 (0.06, 0.069)",+,0.065,"0.585 (0.571, 0.599)","0.7 (0.691, 0.714)","0.117 (0.104, 0.132)",0.117,+,2519,UKB: + | AoU: +,++
phecode_440-2,Arterial embolism and thrombosis,Cardio,"0.695 (0.686, 0.703)","0.769 (0.759, 0.777)","0.074 (0.068, 0.081)",+,0.074,"0.663 (0.645, 0.682)","0.773 (0.756, 0.793)","0.109 (0.097, 0.124)",0.109,+,1146,UKB: + | AoU: +,++
phecode_440-21,Embolism of cerebral or precerebral arteries,Cardio,"0.719 (0.695, 0.748)","0.735 (0.706, 0.763)","0.016 (-0.014, 0.042)",ns,0.016,"0.696 (0.671, 0.721)","0.798 (0.772, 0.82)","0.102 (0.079, 0.123)",0.102,+,402,UKB: ns | AoU: +,ns+
phecode_440-22,Thrombosis of cerebral or precerebral arteries,Cardio,"0.689 (0.664, 0.715)","0.697 (0.678, 0.727)","0.01 (-0.012, 0.036)",ns,0.01,"0.678 (0.652, 0.709)","0.742 (0.71, 0.77)","0.063 (0.036, 0.101)",0.063,+,342,UKB: ns | AoU: +,ns+
phecode_440-3,Pulmonary embolism,Cardio,"0.635 (0.63, 0.642)","0.692 (0.684, 0.697)","0.056 (0.051, 0.062)",+,0.056,"0.59 (0.571, 0.601)","0.715 (0.695, 0.728)","0.125 (0.112, 0.137)",0.125,+,1972,UKB: + | AoU: +,++
phecode_441,Arteriovenous malformation,Cardio,"0.534 (0.499, 0.558)","0.634 (0.605, 0.662)","0.1 (0.059, 0.128)",+,0.1,"0.592 (0.567, 0.609)","0.796 (0.775, 0.84)","0.208 (0.176, 0.253)",0.208,+,508,UKB: + | AoU: +,++
phecode_441-1,Arteriovenous fistula,Cardio,"0.603 (0.56, 0.653)","0.388 (0.331, 0.445)","-0.214 (-0.309, -0.142)",-,-0.214,"0.589 (0.552, 0.645)","0.189 (0.153, 0.208)","-0.4 (-0.487, -0.345)",-0.4,-,247,UKB: - | AoU: -,--
phecode_442,Disease of capillaries,Cardio,"0.603 (0.575, 0.627)","0.673 (0.636, 0.709)","0.069 (0.04, 0.099)",+,0.069,"0.652 (0.632, 0.678)","0.621 (0.602, 0.642)","-0.031 (-0.053, -0.007)",-0.031,-,697,UKB: + | AoU: -,+-
phecode_443,Other specified disorders of arteries and arterioles,Cardio,"0.688 (0.682, 0.694)","0.83 (0.825, 0.835)","0.143 (0.136, 0.15)",+,0.143,"0.699 (0.694, 0.703)","0.736 (0.731, 0.74)","0.037 (0.031, 0.043)",0.037,+,10559,UKB: + | AoU: +,++
phecode_443-1,Stricture of artery [Arterial stenosis],Cardio,"0.716 (0.702, 0.726)","0.845 (0.834, 0.854)","0.129 (0.113, 0.144)",+,0.129,"0.716 (0.695, 0.74)","0.811 (0.781, 0.832)","0.096 (0.064, 0.118)",0.096,+,497,UKB: + | AoU: +,++
phecode_444,Venous insufficiency,Cardio,"0.583 (0.58, 0.589)","0.66 (0.656, 0.664)","0.077 (0.073, 0.08)",+,0.077,"0.614 (0.607, 0.619)","0.677 (0.67, 0.683)","0.064 (0.059, 0.07)",0.064,+,9574,UKB: + | AoU: +,++
phecode_444-1,Varicose veins,Cardio,"0.581 (0.577, 0.585)","0.658 (0.654, 0.662)","0.077 (0.073, 0.081)",+,0.077,"0.604 (0.597, 0.61)","0.666 (0.658, 0.672)","0.062 (0.057, 0.068)",0.062,+,8696,UKB: + | AoU: +,++
phecode_444-11,Varicose veins of lower extremities,Cardio,"0.59 (0.587, 0.596)","0.669 (0.665, 0.673)","0.079 (0.076, 0.082)",+,0.079,"0.604 (0.597, 0.61)","0.666 (0.659, 0.672)","0.062 (0.058, 0.068)",0.062,+,8696,UKB: + | AoU: +,++
phecode_444-12,Gastric varices*,Cardio,"0.574 (0.531, 0.61)","0.78 (0.727, 0.82)","0.203 (0.158, 0.264)",+,0.203,"0.526 (0.482, 0.58)","0.897 (0.85, 0.937)","0.376 (0.293, 0.431)",0.376,+,128,UKB: + | AoU: +,++
phecode_444-13,Esophageal varix,Cardio,"0.638 (0.616, 0.648)","0.797 (0.783, 0.813)","0.16 (0.14, 0.181)",+,0.16,"0.641 (0.609, 0.657)","0.878 (0.858, 0.899)","0.237 (0.212, 0.281)",0.237,+,353,UKB: + | AoU: +,++
phecode_444-15,Scrotal varices [Varicocele],Cardio,"0.792 (0.785, 0.799)","0.856 (0.85, 0.863)","0.064 (0.056, 0.071)",+,0.064,"0.823 (0.806, 0.844)","0.855 (0.839, 0.875)","0.032 (0.009, 0.056)",0.032,+,314,UKB: + | AoU: +,++
phecode_444-5,Venous insufficiency (chronic) (peripheral),Cardio,"0.666 (0.66, 0.673)","0.77 (0.765, 0.776)","0.104 (0.098, 0.11)",+,0.104,"0.676 (0.669, 0.688)","0.769 (0.759, 0.777)","0.093 (0.082, 0.102)",0.093,+,2450,UKB: + | AoU: +,++
phecode_446,Hypotension,Cardio,"0.667 (0.663, 0.671)","0.73 (0.727, 0.733)","0.063 (0.06, 0.067)",+,0.063,"0.63 (0.618, 0.637)","0.749 (0.74, 0.756)","0.12 (0.113, 0.128)",0.12,+,5542,UKB: + | AoU: +,++
phecode_446-2,Orthostatic hypotension,Cardio,"0.693 (0.687, 0.7)","0.762 (0.756, 0.767)","0.068 (0.063, 0.074)",+,0.068,"0.666 (0.65, 0.68)","0.765 (0.754, 0.778)","0.099 (0.084, 0.108)",0.099,+,1824,UKB: + | AoU: +,++
phecode_447,Nonspecific low blood-pressure reading,Cardio,"0.623 (0.612, 0.634)","0.692 (0.678, 0.701)","0.068 (0.054, 0.078)",+,0.068,"0.621 (0.589, 0.657)","0.739 (0.703, 0.768)","0.113 (0.069, 0.145)",0.113,+,187,UKB: + | AoU: +,++
phecode_448,Peripheral vascular disease,Cardio,"0.617 (0.612, 0.623)","0.708 (0.702, 0.714)","0.091 (0.085, 0.098)",+,0.091,"0.672 (0.666, 0.677)","0.735 (0.73, 0.742)","0.063 (0.058, 0.07)",0.063,+,7275,UKB: + | AoU: +,++
phecode_448-1,Raynaud's syndrome,Cardio,"0.554 (0.546, 0.561)","0.666 (0.659, 0.674)","0.112 (0.105, 0.122)",+,0.112,"0.592 (0.568, 0.609)","0.696 (0.67, 0.713)","0.104 (0.073, 0.135)",0.104,+,681,UKB: + | AoU: +,++
phecode_448-9,Peripheral vascular disease NOS [includes PAD],Cardio,"0.716 (0.71, 0.722)","0.824 (0.819, 0.83)","0.108 (0.1, 0.113)",+,0.108,"0.685 (0.677, 0.692)","0.746 (0.739, 0.753)","0.061 (0.055, 0.068)",0.061,+,6883,UKB: + | AoU: +,++
phecode_449,Other disorders of the circulatory system,Cardio,"0.621 (0.607, 0.639)","0.718 (0.707, 0.732)","0.098 (0.084, 0.113)",+,0.098,"0.602 (0.596, 0.608)","0.651 (0.645, 0.656)","0.048 (0.043, 0.054)",0.048,+,11520,UKB: + | AoU: +,++
phecode_452,"Hemorrhage, NOS",Cardio,"0.593 (0.58, 0.605)","0.739 (0.725, 0.749)","0.146 (0.128, 0.16)",+,0.146,"0.55 (0.536, 0.558)","0.601 (0.593, 0.606)","0.051 (0.039, 0.066)",0.051,+,12337,UKB: + | AoU: +,++
phecode_460,Acute respiratory infection,Resp,"0.504 (0.502, 0.505)","0.698 (0.697, 0.7)","0.195 (0.193, 0.197)",+,0.195,"0.562 (0.556, 0.569)","0.588 (0.582, 0.594)","0.026 (0.016, 0.035)",0.026,+,14621,UKB: + | AoU: +,++
phecode_460-1,Acute upper respiratory infection,Resp,"0.488 (0.486, 0.49)","0.708 (0.707, 0.71)","0.22 (0.218, 0.222)",+,0.22,"0.58 (0.574, 0.584)","0.605 (0.6, 0.612)","0.025 (0.019, 0.032)",0.025,+,13729,UKB: + | AoU: +,++
phecode_460-2,Acute lower respiratory infection,Resp,"0.555 (0.553, 0.556)","0.696 (0.694, 0.698)","0.141 (0.139, 0.143)",+,0.141,"0.533 (0.525, 0.541)","0.614 (0.605, 0.62)","0.079 (0.068, 0.09)",0.079,+,10847,UKB: + | AoU: +,++
phecode_462,Sinusitis,Resp,"0.521 (0.519, 0.524)","0.709 (0.707, 0.712)","0.188 (0.185, 0.192)",+,0.188,"0.555 (0.544, 0.562)","0.65 (0.644, 0.659)","0.095 (0.083, 0.107)",0.095,+,6141,UKB: + | AoU: +,++
phecode_462-1,Acute sinusitis,Resp,"0.566 (0.563, 0.571)","0.738 (0.734, 0.742)","0.172 (0.169, 0.176)",+,0.172,"0.571 (0.562, 0.581)","0.686 (0.676, 0.696)","0.114 (0.1, 0.126)",0.114,+,4271,UKB: + | AoU: +,++
phecode_462-2,Chronic sinusitis,Resp,"0.511 (0.509, 0.514)","0.714 (0.711, 0.716)","0.203 (0.199, 0.207)",+,0.203,"0.555 (0.544, 0.562)","0.649 (0.642, 0.658)","0.093 (0.081, 0.105)",0.093,+,6141,UKB: + | AoU: +,++
phecode_463,Rhinitis and nasal congestion,Resp,"0.504 (0.501, 0.506)","0.709 (0.707, 0.713)","0.205 (0.202, 0.209)",+,0.205,"0.541 (0.535, 0.546)","0.651 (0.645, 0.656)","0.11 (0.104, 0.119)",0.11,+,10297,UKB: + | AoU: +,++
phecode_463-1,Chronic rhinitis,Resp,"0.547 (0.543, 0.551)","0.719 (0.716, 0.723)","0.172 (0.167, 0.177)",+,0.172,"0.582 (0.569, 0.591)","0.707 (0.696, 0.719)","0.125 (0.112, 0.133)",0.125,+,3945,UKB: + | AoU: +,++
phecode_463-2,Allergic rhinitis,Resp,"0.471 (0.468, 0.474)","0.713 (0.71, 0.716)","0.242 (0.238, 0.247)",+,0.242,"0.544 (0.536, 0.553)","0.651 (0.642, 0.66)","0.106 (0.094, 0.119)",0.106,+,6745,UKB: + | AoU: +,++
phecode_463-21,Seasonal allergic rhinitis,Resp,"0.499 (0.495, 0.504)","0.72 (0.716, 0.725)","0.221 (0.214, 0.228)",+,0.221,"0.547 (0.539, 0.557)","0.685 (0.676, 0.696)","0.137 (0.127, 0.149)",0.137,+,4691,UKB: + | AoU: +,++
phecode_463-23,"Allergic rhinitis, due to animal hair and dander",Resp,"0.635 (0.613, 0.651)","0.797 (0.782, 0.814)","0.162 (0.14, 0.183)",+,0.162,"0.606 (0.575, 0.631)","0.753 (0.729, 0.788)","0.148 (0.116, 0.187)",0.148,+,422,UKB: + | AoU: +,++
phecode_463-3,Vasomotor rhinitis*,Resp,"0.573 (0.544, 0.6)","0.702 (0.684, 0.723)","0.13 (0.107, 0.161)",+,0.13,"0.698 (0.665, 0.724)","0.781 (0.744, 0.808)","0.081 (0.045, 0.119)",0.081,+,343,UKB: + | AoU: +,++
phecode_463-4,Nasal congestion*,Resp,"0.496 (0.49, 0.5)","0.727 (0.722, 0.732)","0.23 (0.224, 0.235)",+,0.23,"0.546 (0.538, 0.553)","0.687 (0.679, 0.697)","0.14 (0.131, 0.157)",0.14,+,4719,UKB: + | AoU: +,++
phecode_463-5,Postnasal drip,Resp,"0.577 (0.568, 0.583)","0.747 (0.74, 0.751)","0.169 (0.164, 0.179)",+,0.169,"0.611 (0.595, 0.627)","0.72 (0.708, 0.731)","0.109 (0.1, 0.119)",0.109,+,2157,UKB: + | AoU: +,++
phecode_464,Nasopharyngitis,Resp,"0.531 (0.523, 0.537)","0.714 (0.709, 0.719)","0.182 (0.175, 0.191)",+,0.182,"0.569 (0.551, 0.593)","0.648 (0.626, 0.669)","0.077 (0.045, 0.107)",0.077,+,837,UKB: + | AoU: +,++
phecode_464-1,Acute nasopharyngitis,Resp,"0.532 (0.525, 0.537)","0.714 (0.71, 0.718)","0.182 (0.175, 0.189)",+,0.182,"0.569 (0.551, 0.593)","0.648 (0.626, 0.669)","0.077 (0.045, 0.107)",0.077,+,837,UKB: + | AoU: +,++
phecode_465,Pharyngitis,Resp,"0.548 (0.545, 0.551)","0.713 (0.71, 0.716)","0.165 (0.161, 0.168)",+,0.165,"0.635 (0.625, 0.642)","0.62 (0.614, 0.629)","-0.015 (-0.023, -0.004)",-0.015,-,7649,UKB: + | AoU: -,+-
phecode_465-1,Acute Pharyngitis,Resp,"0.548 (0.546, 0.551)","0.714 (0.711, 0.716)","0.165 (0.161, 0.169)",+,0.165,"0.635 (0.626, 0.643)","0.62 (0.614, 0.628)","-0.015 (-0.023, -0.005)",-0.015,-,7642,UKB: + | AoU: -,+-
phecode_465-11,Streptococcal tonsillitis/pharyngitis,Resp,"0.564 (0.527, 0.594)","0.709 (0.682, 0.744)","0.144 (0.112, 0.189)",+,0.144,"0.714 (0.699, 0.727)","0.637 (0.623, 0.653)","-0.077 (-0.1, -0.058)",-0.077,-,1127,UKB: + | AoU: -,+-
phecode_465-2,Chronic Pharyngitis,Resp,"0.548 (0.544, 0.551)","0.726 (0.723, 0.73)","0.178 (0.175, 0.182)",+,0.178,"0.63 (0.603, 0.655)","0.689 (0.664, 0.714)","0.06 (0.012, 0.096)",0.06,+,674,UKB: + | AoU: +,++
phecode_466,Tonsillitis and adenoiditis,Resp,"0.643 (0.636, 0.647)","0.716 (0.71, 0.721)","0.073 (0.069, 0.077)",+,0.073,"0.706 (0.691, 0.725)","0.7 (0.682, 0.722)","-0.005 (-0.026, 0.015)",-0.005,ns,1213,UKB: + | AoU: ns,+ns
phecode_466-1,Acute tonsillitis and adenoiditis,Resp,"0.657 (0.65, 0.661)","0.731 (0.726, 0.736)","0.074 (0.069, 0.079)",+,0.074,"0.745 (0.726, 0.763)","0.72 (0.701, 0.739)","-0.027 (-0.054, 0.002)",-0.027,ns,750,UKB: + | AoU: ns,+ns
phecode_466-3,Peritonsillar abscess,Resp,"0.625 (0.598, 0.661)","0.651 (0.618, 0.672)","0.025 (0.003, 0.053)",+,0.025,"0.738 (0.684, 0.784)","0.651 (0.605, 0.697)","-0.082 (-0.147, -0.03)",-0.082,-,106,UKB: + | AoU: -,+-
phecode_466-4,Hypertrophy of tonsils and adenoids,Resp,"0.617 (0.596, 0.638)","0.718 (0.697, 0.739)","0.102 (0.078, 0.117)",+,0.102,"0.715 (0.693, 0.738)","0.733 (0.693, 0.762)","0.016 (-0.018, 0.05)",0.016,ns,338,UKB: + | AoU: ns,+ns
phecode_467,Laryngitis and tracheitis,Resp,"0.604 (0.598, 0.611)","0.736 (0.731, 0.741)","0.131 (0.126, 0.138)",+,0.131,"0.589 (0.567, 0.62)","0.704 (0.688, 0.726)","0.119 (0.086, 0.147)",0.119,+,726,UKB: + | AoU: +,++
phecode_467-1,Acute laryngitis and tracheitis,Resp,"0.612 (0.607, 0.619)","0.741 (0.736, 0.745)","0.129 (0.124, 0.134)",+,0.129,"0.599 (0.582, 0.629)","0.704 (0.68, 0.729)","0.104 (0.074, 0.147)",0.104,+,591,UKB: + | AoU: +,++
phecode_467-2,Chronic laryngitis and tracheitis,Resp,"0.496 (0.461, 0.531)","0.716 (0.678, 0.75)","0.219 (0.171, 0.273)",+,0.219,"0.608 (0.568, 0.653)","0.741 (0.715, 0.795)","0.139 (0.095, 0.204)",0.139,+,165,UKB: + | AoU: +,++
phecode_468,Pneumonia,Resp,"0.662 (0.658, 0.665)","0.739 (0.735, 0.743)","0.077 (0.073, 0.08)",+,0.077,"0.589 (0.583, 0.597)","0.7 (0.694, 0.707)","0.111 (0.105, 0.117)",0.111,+,7131,UKB: + | AoU: +,++
phecode_468-1,Viral pneumonia,Resp,"0.591 (0.576, 0.606)","0.693 (0.671, 0.705)","0.102 (0.086, 0.12)",+,0.102,"0.569 (0.554, 0.584)","0.728 (0.712, 0.74)","0.158 (0.148, 0.173)",0.158,+,2102,UKB: + | AoU: +,++
phecode_468-14,Influenza with pneumonia,Resp,"0.606 (0.59, 0.625)","0.701 (0.682, 0.718)","0.094 (0.074, 0.116)",+,0.094,"0.531 (0.497, 0.58)","0.8 (0.758, 0.837)","0.268 (0.221, 0.317)",0.268,+,175,UKB: + | AoU: +,++
phecode_468-2,Bacterial pneumonia,Resp,"0.608 (0.595, 0.615)","0.698 (0.687, 0.709)","0.091 (0.079, 0.107)",+,0.091,"0.619 (0.603, 0.635)","0.793 (0.771, 0.81)","0.173 (0.151, 0.196)",0.173,+,1207,UKB: + | AoU: +,++
phecode_468-23,Pneumonia due to Pseudomonas,Resp,"0.681 (0.651, 0.719)","0.859 (0.837, 0.879)","0.177 (0.137, 0.214)",+,0.177,"0.618 (0.575, 0.675)","0.845 (0.784, 0.885)","0.222 (0.162, 0.288)",0.222,+,133,UKB: + | AoU: +,++
phecode_468-25,Pneumonia due to Streptococcus,Resp,"0.593 (0.548, 0.645)","0.675 (0.626, 0.714)","0.079 (0.022, 0.14)",+,0.079,"0.625 (0.567, 0.667)","0.793 (0.758, 0.834)","0.169 (0.114, 0.243)",0.169,+,156,UKB: + | AoU: +,++
phecode_468-26,Pneumonia due to Staphylococcus,Resp,"0.649 (0.582, 0.701)","0.776 (0.742, 0.821)","0.125 (0.062, 0.195)",+,0.125,"0.603 (0.55, 0.644)","0.821 (0.778, 0.863)","0.221 (0.172, 0.273)",0.221,+,199,UKB: + | AoU: +,++
phecode_468-8,Bronchopneumonia,Resp,"0.711 (0.699, 0.724)","0.83 (0.817, 0.841)","0.119 (0.111, 0.13)",+,0.119,"0.621 (0.578, 0.661)","0.754 (0.69, 0.784)","0.131 (0.071, 0.188)",0.131,+,150,UKB: + | AoU: +,++
phecode_468-9,Lobar pneumonia*,Resp,"0.667 (0.663, 0.671)","0.751 (0.747, 0.755)","0.084 (0.079, 0.088)",+,0.084,"0.59 (0.582, 0.596)","0.7 (0.693, 0.706)","0.11 (0.102, 0.118)",0.11,+,6237,UKB: + | AoU: +,++
phecode_469,Bronchitis,Resp,"0.48 (0.475, 0.485)","0.785 (0.782, 0.788)","0.306 (0.3, 0.31)",+,0.306,"0.547 (0.54, 0.557)","0.667 (0.658, 0.676)","0.119 (0.11, 0.129)",0.119,+,4820,UKB: + | AoU: +,++
phecode_469-1,Acute bronchitis,Resp,"0.558 (0.547, 0.568)","0.726 (0.717, 0.735)","0.169 (0.157, 0.18)",+,0.169,"0.591 (0.533, 0.651)","0.776 (0.741, 0.812)","0.191 (0.114, 0.232)",0.191,+,184,UKB: + | AoU: +,++
phecode_469-2,Chronic bronchitis,Resp,"0.622 (0.614, 0.634)","0.863 (0.853, 0.873)","0.241 (0.23, 0.251)",+,0.241,"0.658 (0.638, 0.669)","0.8 (0.782, 0.82)","0.144 (0.12, 0.165)",0.144,+,923,UKB: + | AoU: +,++
phecode_470,Acute bronchiolitis,Resp,"0.538 (0.504, 0.573)","0.661 (0.623, 0.726)","0.124 (0.059, 0.197)",+,0.124,"0.634 (0.594, 0.679)","0.793 (0.768, 0.812)","0.158 (0.095, 0.215)",0.158,+,328,UKB: + | AoU: +,++
phecode_471,Other disorders of nose and nasal sinuses,Resp,"0.47 (0.467, 0.473)","0.694 (0.69, 0.697)","0.224 (0.218, 0.228)",+,0.224,"0.536 (0.528, 0.543)","0.666 (0.661, 0.674)","0.131 (0.124, 0.138)",0.131,+,9258,UKB: + | AoU: +,++
phecode_471-1,Cyst and mucocele of nose and nasal sinus*,Resp,"0.5 (0.458, 0.547)","0.649 (0.605, 0.691)","0.147 (0.091, 0.209)",+,0.147,"0.529 (0.501, 0.568)","0.633 (0.591, 0.669)","0.104 (0.066, 0.157)",0.104,+,273,UKB: + | AoU: +,++
phecode_471-2,Deviated nasal septum,Resp,"0.586 (0.576, 0.595)","0.687 (0.676, 0.695)","0.101 (0.091, 0.111)",+,0.101,"0.532 (0.512, 0.545)","0.659 (0.648, 0.676)","0.128 (0.109, 0.15)",0.128,+,1654,UKB: + | AoU: +,++
phecode_471-3,Hypertrophy of nasal turbinates,Resp,"0.594 (0.576, 0.612)","0.708 (0.694, 0.723)","0.117 (0.094, 0.132)",+,0.117,"0.537 (0.508, 0.56)","0.685 (0.666, 0.719)","0.15 (0.126, 0.181)",0.15,+,952,UKB: + | AoU: +,++
phecode_471-5,Nasal polyps,Resp,"0.571 (0.561, 0.58)","0.694 (0.686, 0.703)","0.123 (0.111, 0.135)",+,0.123,"0.545 (0.505, 0.585)","0.716 (0.687, 0.746)","0.172 (0.103, 0.225)",0.172,+,338,UKB: + | AoU: +,++
phecode_472,"Diseases of vocal cords and larynx, not elsewhere classified",Resp,"0.558 (0.543, 0.571)","0.67 (0.659, 0.681)","0.113 (0.099, 0.126)",+,0.113,"0.596 (0.584, 0.615)","0.663 (0.647, 0.673)","0.066 (0.048, 0.079)",0.066,+,1951,UKB: + | AoU: +,++
phecode_472-1,Paralysis of vocal cords and larynx,Resp,"0.596 (0.559, 0.617)","0.669 (0.649, 0.702)","0.076 (0.054, 0.105)",+,0.076,"0.641 (0.605, 0.675)","0.735 (0.708, 0.765)","0.093 (0.052, 0.136)",0.093,+,276,UKB: + | AoU: +,++
phecode_472-2,Polyp of vocal cord and larynx,Resp,"0.552 (0.513, 0.584)","0.67 (0.637, 0.711)","0.12 (0.074, 0.152)",+,0.12,"0.662 (0.592, 0.718)","0.79 (0.741, 0.821)","0.123 (0.061, 0.176)",0.123,+,103,UKB: + | AoU: +,++
phecode_472-3,Edema of larynx,Resp,"0.502 (0.473, 0.534)","0.751 (0.714, 0.781)","0.248 (0.197, 0.28)",+,0.248,"0.585 (0.54, 0.655)","0.764 (0.73, 0.821)","0.182 (0.102, 0.254)",0.182,+,164,UKB: + | AoU: +,++
phecode_472-4,Laryngeal spasm,Resp,"0.578 (0.533, 0.629)","0.647 (0.606, 0.699)","0.07 (0.03, 0.113)",+,0.07,"0.609 (0.546, 0.659)","0.666 (0.609, 0.718)","0.062 (-0.018, 0.128)",0.062,ns,113,UKB: + | AoU: ns,+ns
phecode_473,Other diseases of upper respiratory tract,Resp,"0.523 (0.518, 0.53)","0.702 (0.694, 0.706)","0.179 (0.172, 0.185)",+,0.179,"0.553 (0.547, 0.557)","0.597 (0.591, 0.602)","0.044 (0.037, 0.053)",0.044,+,16277,UKB: + | AoU: +,++
phecode_474,Chronic obstructive pulmonary disease [COPD],Resp,"0.661 (0.657, 0.665)","0.816 (0.813, 0.818)","0.156 (0.151, 0.159)",+,0.156,"0.661 (0.65, 0.666)","0.76 (0.754, 0.767)","0.1 (0.092, 0.11)",0.1,+,4462,UKB: + | AoU: +,++
phecode_474-1,Emphysema,Resp,"0.686 (0.679, 0.694)","0.845 (0.84, 0.85)","0.16 (0.15, 0.169)",+,0.16,"0.712 (0.697, 0.721)","0.826 (0.815, 0.836)","0.116 (0.101, 0.129)",0.116,+,1989,UKB: + | AoU: +,++
phecode_474-13,Centrilobular emphysema*,Resp,"0.636 (0.609, 0.67)","0.867 (0.849, 0.889)","0.23 (0.189, 0.269)",+,0.23,"0.74 (0.719, 0.756)","0.868 (0.854, 0.887)","0.129 (0.109, 0.148)",0.129,+,753,UKB: + | AoU: +,++
phecode_475,Asthma,Resp,"0.527 (0.524, 0.53)","0.661 (0.657, 0.665)","0.134 (0.128, 0.138)",+,0.134,"0.573 (0.566, 0.582)","0.596 (0.588, 0.608)","0.023 (0.011, 0.033)",0.023,+,6018,UKB: + | AoU: +,++
phecode_475-5,Exercise induced bronchospasm,Resp,"0.574 (0.557, 0.589)","0.854 (0.844, 0.869)","0.281 (0.262, 0.3)",+,0.281,"0.68 (0.633, 0.723)","0.656 (0.622, 0.703)","-0.024 (-0.065, 0.029)",-0.024,ns,273,UKB: + | AoU: ns,+ns
phecode_476,Bronchiectasis,Resp,"0.671 (0.664, 0.677)","0.772 (0.766, 0.778)","0.101 (0.096, 0.109)",+,0.101,"0.723 (0.707, 0.735)","0.822 (0.808, 0.833)","0.1 (0.083, 0.123)",0.1,+,874,UKB: + | AoU: +,++
phecode_477,Inhalation lung injury,Resp,"0.745 (0.724, 0.759)","0.793 (0.777, 0.807)","0.048 (0.038, 0.058)",+,0.048,"0.632 (0.616, 0.644)","0.746 (0.735, 0.76)","0.115 (0.104, 0.132)",0.115,+,1406,UKB: + | AoU: +,++
phecode_478,Aspiration pneumonia,Resp,"0.723 (0.713, 0.734)","0.83 (0.821, 0.838)","0.107 (0.096, 0.116)",+,0.107,"0.615 (0.583, 0.659)","0.766 (0.74, 0.795)","0.15 (0.117, 0.194)",0.15,+,249,UKB: + | AoU: +,++
phecode_479,Pulmonary insufficiency and acute respiratory distress syndrome,Resp,"0.656 (0.649, 0.664)","0.75 (0.745, 0.756)","0.094 (0.086, 0.1)",+,0.094,"0.634 (0.625, 0.64)","0.756 (0.751, 0.762)","0.123 (0.116, 0.13)",0.123,+,6611,UKB: + | AoU: +,++
phecode_479-1,Acute respiratory distress syndrome [ARDS]*,Resp,"0.647 (0.606, 0.681)","0.782 (0.755, 0.805)","0.131 (0.103, 0.174)",+,0.131,"0.597 (0.565, 0.637)","0.761 (0.731, 0.788)","0.167 (0.108, 0.195)",0.167,+,315,UKB: + | AoU: +,++
phecode_479-3,Respiratory failure,Resp,"0.681 (0.672, 0.695)","0.829 (0.823, 0.836)","0.148 (0.137, 0.158)",+,0.148,"0.626 (0.616, 0.633)","0.784 (0.775, 0.79)","0.158 (0.145, 0.169)",0.158,+,4644,UKB: + | AoU: +,++
phecode_479-31,Acute respiratory failure,Resp,"0.685 (0.666, 0.702)","0.824 (0.807, 0.846)","0.139 (0.118, 0.172)",+,0.139,"0.619 (0.609, 0.626)","0.787 (0.777, 0.793)","0.168 (0.153, 0.18)",0.168,+,4049,UKB: + | AoU: +,++
phecode_479-6,Pulmonary collapse [Atelectasis],Resp,"0.641 (0.632, 0.646)","0.712 (0.705, 0.72)","0.072 (0.065, 0.077)",+,0.072,"0.648 (0.637, 0.657)","0.764 (0.755, 0.77)","0.116 (0.103, 0.126)",0.116,+,3647,UKB: + | AoU: +,++
phecode_480,Pulmonary edema,Resp,"0.687 (0.674, 0.703)","0.803 (0.792, 0.816)","0.116 (0.103, 0.129)",+,0.116,"0.637 (0.623, 0.647)","0.816 (0.805, 0.824)","0.179 (0.17, 0.198)",0.179,+,1674,UKB: + | AoU: +,++
phecode_480-1,Acute pulmonary edema,Resp,"0.75 (0.7, 0.795)","0.855 (0.813, 0.914)","0.108 (0.043, 0.172)",+,0.108,"0.634 (0.602, 0.663)","0.825 (0.804, 0.851)","0.191 (0.163, 0.227)",0.191,+,585,UKB: + | AoU: +,++
