endpoint,phecode_string,phecode_category,Age+Sex,Age+Sex+MedicalHistory,delta_agesex,sign_agesex,delta_median_agesex,Age+Sex_aou,Age+Sex+MedicalHistory_aou,delta_agesex_aou,delta_median_agesex_aou,sign_agesex_aou,num_incident_events,sign_agg,label
phecode_700-12,Cutaneous lupus erythematosus,Musc/Skel,"0.628 (0.606, 0.662)","0.595 (0.561, 0.645)","-0.032 (-0.074, 0.014)",ns,-0.032,"0.647 (0.623, 0.67)","0.568 (0.534, 0.597)","-0.076 (-0.119, -0.03)",-0.076,-,483,UKB: ns | AoU: -,ns-
phecode_700-2,Sicca syndrome [Sjogren syndrome],Musc/Skel,"0.689 (0.677, 0.698)","0.771 (0.757, 0.784)","0.081 (0.07, 0.104)",+,0.081,"0.66 (0.644, 0.673)","0.722 (0.703, 0.75)","0.063 (0.043, 0.089)",0.063,+,1009,UKB: + | AoU: +,++
phecode_700-3,Systemic sclerosis,Musc/Skel,"0.651 (0.624, 0.676)","0.664 (0.63, 0.695)","0.015 (-0.019, 0.051)",ns,0.015,"0.68 (0.603, 0.715)","0.77 (0.706, 0.828)","0.093 (0.032, 0.129)",0.093,+,100,UKB: ns | AoU: +,ns+
phecode_700-4,Inflammatory myopathy,Musc/Skel,"0.598 (0.574, 0.62)","0.68 (0.658, 0.709)","0.083 (0.058, 0.112)",+,0.083,"0.533 (0.505, 0.559)","0.668 (0.645, 0.688)","0.134 (0.111, 0.16)",0.134,+,733,UKB: + | AoU: +,++
phecode_700-41,Myositis,Musc/Skel,"0.612 (0.579, 0.642)","0.716 (0.695, 0.739)","0.103 (0.077, 0.149)",+,0.103,"0.533 (0.506, 0.56)","0.672 (0.649, 0.694)","0.138 (0.115, 0.161)",0.138,+,729,UKB: + | AoU: +,++
phecode_700-43,Polymyositis,Musc/Skel,"0.576 (0.524, 0.635)","0.626 (0.579, 0.69)","0.054 (-0.001, 0.114)",ns,0.054,"0.635 (0.564, 0.691)","0.721 (0.653, 0.773)","0.085 (0.026, 0.16)",0.085,+,104,UKB: ns | AoU: +,ns+
phecode_700-9,Other diffuse diseases of connective tissue,Musc/Skel,"0.592 (0.567, 0.618)","0.781 (0.757, 0.81)","0.19 (0.161, 0.22)",+,0.19,"0.61 (0.574, 0.665)","0.766 (0.728, 0.811)","0.155 (0.078, 0.214)",0.155,+,200,UKB: + | AoU: +,++
phecode_701,"Osteomyelitis, periostitis, and other infections involving bone",Musc/Skel,"0.614 (0.598, 0.629)","0.765 (0.746, 0.782)","0.152 (0.13, 0.17)",+,0.152,"0.626 (0.608, 0.641)","0.801 (0.782, 0.815)","0.176 (0.152, 0.202)",0.176,+,1187,UKB: + | AoU: +,++
phecode_701-1,Osteomyelitis,Musc/Skel,"0.611 (0.586, 0.625)","0.766 (0.75, 0.781)","0.157 (0.132, 0.177)",+,0.157,"0.625 (0.607, 0.64)","0.802 (0.782, 0.816)","0.177 (0.153, 0.202)",0.177,+,1181,UKB: + | AoU: +,++
phecode_701-11,Acute/subacute osteomyelitis,Musc/Skel,"0.649 (0.607, 0.685)","0.831 (0.797, 0.863)","0.181 (0.145, 0.239)",+,0.181,"0.645 (0.619, 0.673)","0.858 (0.835, 0.88)","0.213 (0.184, 0.254)",0.213,+,524,UKB: + | AoU: +,++
phecode_701-12,Chronic osteomyelitis,Musc/Skel,"0.603 (0.571, 0.647)","0.833 (0.802, 0.883)","0.228 (0.17, 0.278)",+,0.228,"0.62 (0.583, 0.651)","0.892 (0.873, 0.918)","0.274 (0.229, 0.304)",0.274,+,389,UKB: + | AoU: +,++
phecode_702,Infective and reactive arthropathies,Musc/Skel,"0.542 (0.52, 0.555)","0.764 (0.752, 0.779)","0.223 (0.208, 0.24)",+,0.223,"0.621 (0.598, 0.644)","0.756 (0.719, 0.776)","0.137 (0.092, 0.162)",0.137,+,580,UKB: + | AoU: +,++
phecode_702-1,Pyogenic arthritis [Septic arthritis],Musc/Skel,"0.611 (0.592, 0.634)","0.739 (0.723, 0.759)","0.128 (0.101, 0.153)",+,0.128,"0.645 (0.609, 0.674)","0.79 (0.756, 0.817)","0.149 (0.105, 0.171)",0.149,+,507,UKB: + | AoU: +,++
phecode_703,Chrystal arthropathies,Musc/Skel,"0.691 (0.687, 0.694)","0.757 (0.753, 0.761)","0.066 (0.062, 0.069)",+,0.066,"0.712 (0.697, 0.725)","0.766 (0.751, 0.775)","0.054 (0.038, 0.066)",0.054,+,2335,UKB: + | AoU: +,++
phecode_703-1,Hyperuricemia,Musc/Skel,"0.695 (0.691, 0.699)","0.761 (0.757, 0.766)","0.066 (0.063, 0.07)",+,0.066,"0.705 (0.687, 0.721)","0.777 (0.759, 0.79)","0.071 (0.057, 0.086)",0.071,+,1862,UKB: + | AoU: +,++
phecode_703-11,Gout,Musc/Skel,"0.699 (0.695, 0.702)","0.765 (0.762, 0.768)","0.066 (0.063, 0.069)",+,0.066,"0.709 (0.693, 0.723)","0.778 (0.76, 0.794)","0.069 (0.053, 0.088)",0.069,+,1684,UKB: + | AoU: +,++
phecode_703-2,Chondrocalcinosis,Musc/Skel,"0.66 (0.643, 0.678)","0.761 (0.743, 0.773)","0.099 (0.083, 0.117)",+,0.099,"0.794 (0.777, 0.806)","0.824 (0.801, 0.844)","0.031 (0.016, 0.056)",0.031,+,588,UKB: + | AoU: +,++
phecode_704,Systemic vasculitis,Musc/Skel,"0.669 (0.661, 0.679)","0.709 (0.699, 0.717)","0.039 (0.03, 0.049)",+,0.039,"0.585 (0.572, 0.6)","0.67 (0.657, 0.684)","0.085 (0.072, 0.098)",0.085,+,1585,UKB: + | AoU: +,++
