phecode_category,endpoint,phecode_string,Age+Sex,Age+Sex+MedicalHistory,delta
Cardio,phecode_430-1,Nontraumatic subarachnoid hemorrhage,"0.649 (0.624, 0.68)","0.706 (0.682, 0.734)","0.054 (0.029, 0.084)"
Cardio,phecode_430-2,Nontraumatic intracerebral hemorrhage,"0.677 (0.657, 0.7)","0.776 (0.756, 0.794)","0.098 (0.076, 0.116)"
Cardio,phecode_430-3,Nontraumatic subdural hemorrhage,"0.716 (0.685, 0.74)","0.774 (0.743, 0.797)","0.059 (0.034, 0.087)"
Cardio,phecode_431,Stroke and transient cerebral ischemic attacks,"0.685 (0.678, 0.691)","0.749 (0.742, 0.756)","0.064 (0.06, 0.07)"
Cardio,phecode_431-1,Stroke,"0.679 (0.672, 0.685)","0.757 (0.75, 0.765)","0.079 (0.073, 0.085)"
Cardio,phecode_431-11,Cerebral infarction [Ischemic stroke],"0.685 (0.679, 0.693)","0.767 (0.759, 0.775)","0.082 (0.076, 0.088)"
Cardio,phecode_431-12,Hemorrhagic stroke,"0.662 (0.646, 0.676)","0.747 (0.727, 0.767)","0.087 (0.066, 0.104)"
Cardio,phecode_431-2,Transient cerebral ischemic attacks,"0.712 (0.699, 0.722)","0.777 (0.765, 0.786)","0.065 (0.053, 0.071)"
Cardio,phecode_433,Other cerebrovascular disease,"0.726 (0.718, 0.732)","0.771 (0.763, 0.776)","0.045 (0.04, 0.05)"
Cardio,phecode_433-1,Occlusion and stenosis of cerebral arteries,"0.697 (0.678, 0.721)","0.798 (0.776, 0.816)","0.101 (0.079, 0.117)"
Cardio,phecode_433-2,Occlusion and stenosis of precerebral arteries,"0.778 (0.768, 0.785)","0.823 (0.816, 0.83)","0.046 (0.039, 0.052)"
Cardio,phecode_433-21,Carotid artery stenosis,"0.78 (0.771, 0.787)","0.826 (0.818, 0.833)","0.047 (0.039, 0.053)"
Cardio,phecode_433-3,Cerebrovascular insufficiency,"0.765 (0.756, 0.777)","0.806 (0.795, 0.817)","0.04 (0.029, 0.053)"
Cardio,phecode_436,Atherosclerosis [ASCVD],"0.741 (0.737, 0.745)","0.798 (0.795, 0.803)","0.057 (0.054, 0.062)"
Cardio,phecode_436-1,Atherosclerosis of renal artery,"0.684 (0.657, 0.706)","0.849 (0.826, 0.865)","0.163 (0.138, 0.193)"
Cardio,phecode_436-2,Atherosclerosis of the extremities,"0.724 (0.712, 0.736)","0.86 (0.85, 0.871)","0.137 (0.123, 0.149)"
Cardio,phecode_436-3,Atherosclerosis of aorta,"0.777 (0.77, 0.784)","0.818 (0.809, 0.824)","0.04 (0.03, 0.048)"
Cardio,phecode_436-5,Cerebral atherosclerosis,"0.761 (0.738, 0.781)","0.843 (0.821, 0.863)","0.082 (0.059, 0.1)"
Cardio,phecode_437,Vascular insufficiency of intestine,"0.627 (0.605, 0.637)","0.69 (0.668, 0.704)","0.062 (0.049, 0.076)"
Cardio,phecode_438,Aneurysm or ectasia,"0.729 (0.717, 0.735)","0.771 (0.76, 0.778)","0.042 (0.035, 0.048)"
Cardio,phecode_438-1,Aortic aneurysm and ectasia,"0.784 (0.773, 0.793)","0.813 (0.803, 0.818)","0.029 (0.023, 0.035)"
Cardio,phecode_438-11,Abdominal aortic aneurysm,"0.812 (0.8, 0.825)","0.852 (0.842, 0.863)","0.041 (0.03, 0.051)"
Cardio,phecode_438-12,Thoracic aneurysm,"0.774 (0.76, 0.784)","0.798 (0.786, 0.807)","0.024 (0.011, 0.035)"
Cardio,phecode_438-2,Aneurysm of iliac or artery of lower extremity,"0.771 (0.736, 0.797)","0.857 (0.837, 0.877)","0.087 (0.06, 0.113)"
Cardio,phecode_438-3,Aneurysm of carotid artery,"0.634 (0.593, 0.682)","0.702 (0.665, 0.743)","0.061 (0.014, 0.127)"
Cardio,phecode_438-4,Arterial dissection,"0.637 (0.613, 0.666)","0.716 (0.691, 0.741)","0.078 (0.055, 0.106)"
Cardio,phecode_438-7,Aneurysm of heart,"0.695 (0.665, 0.726)","0.762 (0.735, 0.789)","0.063 (0.034, 0.099)"
Cardio,phecode_439,Hemorrhoids,"0.6 (0.594, 0.605)","0.664 (0.659, 0.669)","0.064 (0.057, 0.07)"
Cardio,phecode_440,Embolism and thrombosis,"0.6 (0.592, 0.606)","0.701 (0.695, 0.707)","0.101 (0.095, 0.108)"
Cardio,phecode_440-1,Venous thromboembolism,"0.58 (0.572, 0.589)","0.699 (0.691, 0.708)","0.119 (0.107, 0.129)"
Cardio,phecode_440-11,Deep vein thrombosis [DVT],"0.61 (0.603, 0.62)","0.708 (0.695, 0.721)","0.097 (0.085, 0.111)"
Cardio,phecode_440-12,Portal vein thrombosis,"0.584 (0.546, 0.618)","0.823 (0.778, 0.85)","0.238 (0.189, 0.281)"
Cardio,phecode_440-13,Phlebitis and thrombophlebitis,"0.585 (0.574, 0.595)","0.7 (0.691, 0.711)","0.117 (0.107, 0.124)"
Cardio,phecode_440-2,Arterial embolism and thrombosis,"0.663 (0.65, 0.676)","0.773 (0.761, 0.786)","0.109 (0.099, 0.122)"
Cardio,phecode_440-21,Embolism of cerebral or precerebral arteries,"0.696 (0.681, 0.718)","0.798 (0.776, 0.813)","0.102 (0.087, 0.12)"
Cardio,phecode_440-22,Thrombosis of cerebral or precerebral arteries,"0.678 (0.654, 0.701)","0.742 (0.714, 0.766)","0.063 (0.041, 0.083)"
Cardio,phecode_440-3,Pulmonary embolism,"0.59 (0.578, 0.599)","0.715 (0.702, 0.723)","0.125 (0.114, 0.135)"
Cardio,phecode_441,Arteriovenous malformation,"0.592 (0.568, 0.607)","0.796 (0.776, 0.827)","0.208 (0.181, 0.242)"
Cardio,phecode_441-1,Arteriovenous fistula,"0.589 (0.561, 0.615)","0.189 (0.162, 0.207)","-0.4 (-0.445, -0.356)"
Cardio,phecode_442,Disease of capillaries,"0.652 (0.635, 0.671)","0.621 (0.606, 0.638)","-0.031 (-0.051, -0.01)"
Cardio,phecode_443,Other specified disorders of arteries and arterioles,"0.699 (0.694, 0.703)","0.736 (0.733, 0.739)","0.037 (0.032, 0.04)"
Cardio,phecode_443-1,Stricture of artery [Arterial stenosis],"0.716 (0.697, 0.732)","0.811 (0.793, 0.828)","0.096 (0.079, 0.115)"
Cardio,phecode_444,Venous insufficiency,"0.614 (0.609, 0.618)","0.677 (0.672, 0.681)","0.064 (0.059, 0.067)"
Cardio,phecode_444-1,Varicose veins,"0.604 (0.599, 0.609)","0.666 (0.661, 0.671)","0.062 (0.057, 0.065)"
Cardio,phecode_444-11,Varicose veins of lower extremities,"0.604 (0.599, 0.609)","0.666 (0.661, 0.671)","0.062 (0.059, 0.066)"
Cardio,phecode_444-12,Gastric varices*,"0.526 (0.486, 0.579)","0.897 (0.866, 0.922)","0.376 (0.311, 0.427)"
Cardio,phecode_444-13,Esophageal varix,"0.641 (0.614, 0.656)","0.878 (0.862, 0.898)","0.237 (0.215, 0.268)"
Cardio,phecode_444-15,Scrotal varices [Varicocele],"0.823 (0.808, 0.84)","0.855 (0.842, 0.868)","0.032 (0.013, 0.047)"
Cardio,phecode_444-5,Venous insufficiency (chronic) (peripheral),"0.676 (0.67, 0.685)","0.769 (0.76, 0.776)","0.093 (0.085, 0.101)"
Cardio,phecode_446,Hypotension,"0.63 (0.623, 0.636)","0.749 (0.743, 0.756)","0.12 (0.114, 0.126)"
Cardio,phecode_446-2,Orthostatic hypotension,"0.666 (0.654, 0.678)","0.765 (0.755, 0.773)","0.099 (0.09, 0.107)"
Cardio,phecode_447,Nonspecific low blood-pressure reading,"0.621 (0.595, 0.647)","0.739 (0.705, 0.761)","0.113 (0.085, 0.144)"
Cardio,phecode_448,Peripheral vascular disease,"0.672 (0.666, 0.676)","0.735 (0.731, 0.741)","0.063 (0.059, 0.069)"
Cardio,phecode_448-1,Raynaud's syndrome,"0.592 (0.572, 0.608)","0.696 (0.675, 0.712)","0.104 (0.078, 0.125)"
Cardio,phecode_448-9,Peripheral vascular disease NOS [includes PAD],"0.685 (0.679, 0.689)","0.746 (0.741, 0.751)","0.061 (0.057, 0.066)"
Cardio,phecode_449,Other disorders of the circulatory system,"0.602 (0.598, 0.606)","0.651 (0.647, 0.654)","0.048 (0.044, 0.053)"
Cardio,phecode_452,"Hemorrhage, NOS","0.55 (0.538, 0.556)","0.601 (0.595, 0.605)","0.051 (0.041, 0.066)"
Resp,phecode_460,Acute respiratory infection,"0.562 (0.558, 0.566)","0.588 (0.584, 0.592)","0.026 (0.019, 0.032)"
Resp,phecode_460-1,Acute upper respiratory infection,"0.58 (0.576, 0.584)","0.605 (0.601, 0.609)","0.025 (0.02, 0.032)"
Resp,phecode_460-2,Acute lower respiratory infection,"0.533 (0.529, 0.539)","0.614 (0.609, 0.618)","0.079 (0.071, 0.089)"
Resp,phecode_462,Sinusitis,"0.555 (0.545, 0.561)","0.65 (0.644, 0.657)","0.095 (0.086, 0.106)"
Resp,phecode_462-1,Acute sinusitis,"0.571 (0.563, 0.58)","0.686 (0.678, 0.692)","0.114 (0.105, 0.124)"
Resp,phecode_462-2,Chronic sinusitis,"0.555 (0.545, 0.561)","0.649 (0.642, 0.655)","0.093 (0.084, 0.105)"
Resp,phecode_463,Rhinitis and nasal congestion,"0.541 (0.536, 0.545)","0.651 (0.646, 0.655)","0.11 (0.105, 0.117)"
Resp,phecode_463-1,Chronic rhinitis,"0.582 (0.574, 0.588)","0.707 (0.697, 0.714)","0.125 (0.114, 0.132)"
Resp,phecode_463-2,Allergic rhinitis,"0.544 (0.538, 0.551)","0.651 (0.644, 0.658)","0.106 (0.098, 0.114)"
Resp,phecode_463-21,Seasonal allergic rhinitis,"0.547 (0.541, 0.555)","0.685 (0.679, 0.695)","0.137 (0.128, 0.148)"
Resp,phecode_463-23,"Allergic rhinitis, due to animal hair and dander","0.606 (0.58, 0.624)","0.753 (0.731, 0.779)","0.148 (0.121, 0.185)"
Resp,phecode_463-3,Vasomotor rhinitis*,"0.698 (0.666, 0.721)","0.781 (0.761, 0.795)","0.081 (0.052, 0.113)"
Resp,phecode_463-4,Nasal congestion*,"0.546 (0.539, 0.552)","0.687 (0.682, 0.695)","0.14 (0.132, 0.154)"
Resp,phecode_463-5,Postnasal drip,"0.611 (0.602, 0.622)","0.72 (0.71, 0.731)","0.109 (0.101, 0.118)"
Resp,phecode_464,Nasopharyngitis,"0.569 (0.554, 0.59)","0.648 (0.627, 0.667)","0.077 (0.049, 0.106)"
Resp,phecode_464-1,Acute nasopharyngitis,"0.569 (0.554, 0.59)","0.648 (0.627, 0.667)","0.077 (0.049, 0.106)"
Resp,phecode_465,Pharyngitis,"0.635 (0.63, 0.641)","0.62 (0.614, 0.626)","-0.015 (-0.022, -0.006)"
Resp,phecode_465-1,Acute Pharyngitis,"0.635 (0.63, 0.641)","0.62 (0.614, 0.626)","-0.015 (-0.022, -0.006)"
Resp,phecode_465-11,Streptococcal tonsillitis/pharyngitis,"0.714 (0.704, 0.726)","0.637 (0.625, 0.648)","-0.077 (-0.096, -0.061)"
Resp,phecode_465-2,Chronic Pharyngitis,"0.63 (0.603, 0.654)","0.689 (0.666, 0.71)","0.06 (0.021, 0.091)"
Resp,phecode_466,Tonsillitis and adenoiditis,"0.706 (0.695, 0.719)","0.7 (0.685, 0.715)","-0.005 (-0.022, 0.008)"
Resp,phecode_466-1,Acute tonsillitis and adenoiditis,"0.745 (0.728, 0.759)","0.72 (0.703, 0.733)","-0.027 (-0.047, -0.005)"
Resp,phecode_466-3,Peritonsillar abscess,"0.738 (0.691, 0.778)","0.651 (0.61, 0.695)","-0.082 (-0.145, -0.032)"
Resp,phecode_466-4,Hypertrophy of tonsils and adenoids,"0.715 (0.699, 0.733)","0.733 (0.699, 0.754)","0.016 (-0.014, 0.044)"
Resp,phecode_467,Laryngitis and tracheitis,"0.589 (0.57, 0.608)","0.704 (0.691, 0.722)","0.119 (0.095, 0.14)"
Resp,phecode_467-1,Acute laryngitis and tracheitis,"0.599 (0.583, 0.621)","0.704 (0.683, 0.725)","0.104 (0.081, 0.13)"
Resp,phecode_467-2,Chronic laryngitis and tracheitis,"0.608 (0.569, 0.643)","0.741 (0.72, 0.781)","0.139 (0.096, 0.195)"
Resp,phecode_468,Pneumonia,"0.589 (0.584, 0.596)","0.7 (0.695, 0.707)","0.111 (0.105, 0.116)"
Resp,phecode_468-1,Viral pneumonia,"0.569 (0.561, 0.581)","0.728 (0.716, 0.738)","0.158 (0.149, 0.171)"
Resp,phecode_468-14,Influenza with pneumonia,"0.531 (0.507, 0.57)","0.8 (0.762, 0.829)","0.268 (0.223, 0.307)"
Resp,phecode_468-2,Bacterial pneumonia,"0.619 (0.607, 0.633)","0.793 (0.777, 0.806)","0.173 (0.157, 0.188)"
Resp,phecode_468-23,Pneumonia due to Pseudomonas,"0.618 (0.581, 0.67)","0.845 (0.805, 0.872)","0.222 (0.178, 0.275)"
Resp,phecode_468-25,Pneumonia due to Streptococcus,"0.625 (0.584, 0.656)","0.793 (0.76, 0.827)","0.169 (0.123, 0.222)"
Resp,phecode_468-26,Pneumonia due to Staphylococcus,"0.603 (0.561, 0.626)","0.821 (0.787, 0.853)","0.221 (0.177, 0.264)"
Resp,phecode_468-8,Bronchopneumonia,"0.621 (0.591, 0.657)","0.754 (0.705, 0.778)","0.131 (0.086, 0.168)"
Resp,phecode_468-9,Lobar pneumonia*,"0.59 (0.583, 0.595)","0.7 (0.693, 0.705)","0.11 (0.104, 0.117)"
Resp,phecode_469,Bronchitis,"0.547 (0.541, 0.554)","0.667 (0.659, 0.674)","0.119 (0.111, 0.127)"
Resp,phecode_469-1,Acute bronchitis,"0.591 (0.545, 0.635)","0.776 (0.748, 0.806)","0.191 (0.147, 0.225)"
Resp,phecode_469-2,Chronic bronchitis,"0.658 (0.645, 0.666)","0.8 (0.785, 0.816)","0.144 (0.128, 0.164)"
Resp,phecode_470,Acute bronchiolitis,"0.634 (0.601, 0.67)","0.793 (0.769, 0.811)","0.158 (0.113, 0.201)"
Resp,phecode_471,Other disorders of nose and nasal sinuses,"0.536 (0.53, 0.542)","0.666 (0.662, 0.67)","0.131 (0.125, 0.138)"
Resp,phecode_471-1,Cyst and mucocele of nose and nasal sinus*,"0.529 (0.502, 0.559)","0.633 (0.595, 0.663)","0.104 (0.068, 0.141)"
Resp,phecode_471-2,Deviated nasal septum,"0.532 (0.515, 0.543)","0.659 (0.649, 0.674)","0.128 (0.11, 0.144)"
Resp,phecode_471-3,Hypertrophy of nasal turbinates,"0.537 (0.51, 0.547)","0.685 (0.668, 0.708)","0.15 (0.131, 0.179)"
Resp,phecode_471-5,Nasal polyps,"0.545 (0.517, 0.572)","0.716 (0.688, 0.743)","0.172 (0.135, 0.218)"
Resp,phecode_472,"Diseases of vocal cords and larynx, not elsewhere classified","0.596 (0.586, 0.61)","0.663 (0.648, 0.672)","0.066 (0.051, 0.078)"
Resp,phecode_472-1,Paralysis of vocal cords and larynx,"0.641 (0.61, 0.669)","0.735 (0.712, 0.756)","0.093 (0.063, 0.126)"
Resp,phecode_472-2,Polyp of vocal cord and larynx,"0.662 (0.623, 0.698)","0.79 (0.743, 0.817)","0.123 (0.072, 0.173)"
Resp,phecode_472-3,Edema of larynx,"0.585 (0.553, 0.622)","0.764 (0.732, 0.794)","0.182 (0.111, 0.237)"
Resp,phecode_472-4,Laryngeal spasm,"0.609 (0.555, 0.649)","0.666 (0.616, 0.712)","0.062 (-0.007, 0.11)"
Resp,phecode_473,Other diseases of upper respiratory tract,"0.553 (0.548, 0.556)","0.597 (0.592, 0.601)","0.044 (0.038, 0.052)"
Resp,phecode_474,Chronic obstructive pulmonary disease [COPD],"0.661 (0.656, 0.666)","0.76 (0.755, 0.766)","0.1 (0.094, 0.106)"
Resp,phecode_474-1,Emphysema,"0.712 (0.699, 0.72)","0.826 (0.817, 0.835)","0.116 (0.104, 0.126)"
Resp,phecode_474-13,Centrilobular emphysema*,"0.74 (0.724, 0.752)","0.868 (0.859, 0.88)","0.129 (0.113, 0.146)"
Resp,phecode_475,Asthma,"0.573 (0.567, 0.58)","0.596 (0.589, 0.603)","0.023 (0.012, 0.032)"
Resp,phecode_475-5,Exercise induced bronchospasm,"0.68 (0.648, 0.714)","0.656 (0.626, 0.686)","-0.024 (-0.064, 0.022)"
Resp,phecode_476,Bronchiectasis,"0.723 (0.708, 0.733)","0.822 (0.809, 0.832)","0.1 (0.085, 0.117)"
Resp,phecode_477,Inhalation lung injury,"0.632 (0.617, 0.643)","0.746 (0.736, 0.756)","0.115 (0.105, 0.128)"
Resp,phecode_478,Aspiration pneumonia,"0.615 (0.588, 0.643)","0.766 (0.741, 0.792)","0.15 (0.124, 0.184)"
Resp,phecode_479,Pulmonary insufficiency and acute respiratory distress syndrome,"0.634 (0.628, 0.639)","0.756 (0.752, 0.761)","0.123 (0.117, 0.129)"
Resp,phecode_479-1,Acute respiratory distress syndrome [ARDS]*,"0.597 (0.572, 0.629)","0.761 (0.741, 0.786)","0.167 (0.122, 0.192)"
Resp,phecode_479-3,Respiratory failure,"0.626 (0.618, 0.632)","0.784 (0.776, 0.789)","0.158 (0.151, 0.166)"
Resp,phecode_479-31,Acute respiratory failure,"0.619 (0.612, 0.625)","0.787 (0.779, 0.792)","0.168 (0.158, 0.177)"
Resp,phecode_479-6,Pulmonary collapse [Atelectasis],"0.648 (0.639, 0.656)","0.764 (0.757, 0.769)","0.116 (0.106, 0.126)"
Resp,phecode_480,Pulmonary edema,"0.637 (0.626, 0.646)","0.816 (0.807, 0.823)","0.179 (0.17, 0.188)"
Resp,phecode_480-1,Acute pulmonary edema,"0.634 (0.614, 0.657)","0.825 (0.81, 0.846)","0.191 (0.17, 0.212)"
Resp,phecode_480-2,Chronic pulmonary edema,"0.637 (0.626, 0.646)","0.799 (0.789, 0.808)","0.161 (0.152, 0.175)"
Resp,phecode_481,Interstitial pulmonary diseases,"0.664 (0.651, 0.676)","0.751 (0.742, 0.762)","0.088 (0.077, 0.095)"
Resp,phecode_481-4,Pulmonary fibrosis,"0.698 (0.684, 0.714)","0.749 (0.736, 0.765)","0.052 (0.038, 0.062)"
Resp,phecode_481-42,Idiopathic pulmonary fibrosis,"0.799 (0.765, 0.82)","0.828 (0.795, 0.861)","0.034 (-0.008, 0.073)"
Resp,phecode_482,Suppurative and necrotic conditions of the lower respiratory tract,"0.622 (0.591, 0.658)","0.761 (0.732, 0.786)","0.139 (0.1, 0.182)"
Resp,phecode_482-1,Abscess of lung and mediastinum,"0.63 (0.59, 0.68)","0.769 (0.725, 0.811)","0.135 (0.066, 0.208)"
Resp,phecode_482-2,Pyothorax (empyema),"0.633 (0.594, 0.675)","0.743 (0.707, 0.776)","0.108 (0.071, 0.156)"
Resp,phecode_483,Pleural effusion,"0.655 (0.648, 0.664)","0.777 (0.771, 0.786)","0.123 (0.113, 0.13)"
Resp,phecode_484,Pneumothorax and air leak,"0.653 (0.633, 0.668)","0.762 (0.751, 0.777)","0.111 (0.093, 0.126)"
Resp,phecode_484-4,Interstitial emphysema [Pneumomediastinum],"0.615 (0.569, 0.659)","0.741 (0.711, 0.78)","0.127 (0.078, 0.185)"
Resp,phecode_485,Chronic respiratory failure,"0.66 (0.645, 0.67)","0.871 (0.862, 0.879)","0.211 (0.196, 0.228)"
Resp,phecode_486,Other respiratory disorders,"0.502 (0.5, 0.505)","0.553 (0.55, 0.557)","0.051 (0.046, 0.055)"
Resp,phecode_486-2,Other diseases of bronchus,"0.559 (0.55, 0.564)","0.661 (0.653, 0.667)","0.101 (0.095, 0.111)"
Resp,phecode_486-21,Bronchospasm,"0.572 (0.553, 0.59)","0.7 (0.682, 0.716)","0.129 (0.102, 0.152)"
Resp,phecode_486-3,Other diseases of mediastinum,"0.652 (0.612, 0.695)","0.712 (0.657, 0.739)","0.057 (0.01, 0.086)"
Resp,phecode_486-4,Disorders of diaphragm,"0.68 (0.662, 0.701)","0.759 (0.741, 0.779)","0.078 (0.055, 0.098)"
Resp,phecode_486-41,Hiccough,"0.718 (0.688, 0.752)","0.723 (0.691, 0.758)","0.006 (-0.027, 0.034)"
Resp,phecode_486-5,Abnormal sputum,"0.618 (0.557, 0.676)","0.73 (0.676, 0.766)","0.108 (0.054, 0.167)"
Resp,phecode_487,Hemorrhage from respiratory passages,"0.585 (0.575, 0.595)","0.713 (0.703, 0.723)","0.128 (0.12, 0.138)"
Resp,phecode_487-1,Epistaxis,"0.598 (0.588, 0.609)","0.708 (0.697, 0.717)","0.108 (0.099, 0.119)"
Resp,phecode_487-3,Hemoptysis,"0.579 (0.562, 0.595)","0.753 (0.738, 0.763)","0.173 (0.156, 0.191)"
Resp,phecode_488,Abnormalities of breathing,"0.551 (0.546, 0.556)","0.654 (0.651, 0.659)","0.103 (0.099, 0.107)"
Resp,phecode_488-1,Dyspnea [Shortness of breath],"0.565 (0.56, 0.568)","0.665 (0.66, 0.669)","0.101 (0.097, 0.105)"
Resp,phecode_488-11,Orthopnea,"0.604 (0.578, 0.624)","0.791 (0.767, 0.812)","0.188 (0.167, 0.211)"
Resp,phecode_488-6,Wheezing,"0.568 (0.558, 0.579)","0.73 (0.719, 0.74)","0.163 (0.148, 0.173)"
Resp,phecode_488-8,Mouth breathing*,"0.521 (0.508, 0.529)","0.681 (0.673, 0.688)","0.159 (0.149, 0.174)"
Resp,phecode_488-9,Obesity hypoventilation syndrome [OHS],"0.544 (0.522, 0.565)","0.862 (0.849, 0.883)","0.319 (0.297, 0.35)"
Resp,phecode_491,Pleurisy,"0.603 (0.586, 0.62)","0.71 (0.691, 0.726)","0.105 (0.093, 0.122)"
Resp,phecode_494,Voice disturbance,"0.647 (0.636, 0.656)","0.73 (0.719, 0.739)","0.083 (0.074, 0.093)"
Resp,phecode_495,Abnormal findings on diagnostic imaging of lung,"0.624 (0.619, 0.628)","0.702 (0.698, 0.706)","0.078 (0.074, 0.082)"
Resp,phecode_495-1,Solitary pulmonary nodule,"0.682 (0.675, 0.689)","0.733 (0.727, 0.741)","0.051 (0.045, 0.055)"
Resp,phecode_496,Abnormal results of pulmonary function studies,"0.665 (0.651, 0.681)","0.747 (0.725, 0.767)","0.081 (0.064, 0.105)"
Resp,phecode_498,Asphyxia and hypoxemia,"0.623 (0.617, 0.63)","0.773 (0.763, 0.781)","0.149 (0.14, 0.159)"
GI,phecode_500,Disorders of tooth develoment,"0.605 (0.578, 0.63)","0.595 (0.568, 0.618)","-0.013 (-0.053, 0.024)"
GI,phecode_500-4,Disturbances in tooth eruption,"0.751 (0.722, 0.779)","0.59 (0.554, 0.629)","-0.159 (-0.211, -0.114)"
GI,phecode_500-41,Impacted teeth*,"0.764 (0.726, 0.798)","0.619 (0.58, 0.658)","-0.146 (-0.191, -0.09)"
GI,phecode_501,Dental caries,"0.547 (0.537, 0.562)","0.618 (0.603, 0.627)","0.069 (0.047, 0.083)"
GI,phecode_502,Other diseases of teeth and supporting structures,"0.552 (0.541, 0.566)","0.633 (0.621, 0.642)","0.079 (0.063, 0.094)"
GI,phecode_502-6,Loss of teeth and edentulism,"0.603 (0.589, 0.615)","0.628 (0.616, 0.643)","0.026 (0.006, 0.041)"
GI,phecode_503,Diseases of pulp and periapical tissues,"0.564 (0.552, 0.57)","0.659 (0.648, 0.669)","0.096 (0.08, 0.111)"
GI,phecode_503-5,Periapical abscess,"0.572 (0.558, 0.578)","0.661 (0.649, 0.673)","0.09 (0.074, 0.109)"
GI,phecode_504,Periodontal diseases,"0.532 (0.52, 0.539)","0.621 (0.611, 0.629)","0.088 (0.076, 0.102)"
GI,phecode_504-1,Gingivitis,"0.539 (0.525, 0.554)","0.612 (0.6, 0.634)","0.074 (0.052, 0.098)"
GI,phecode_504-3,Periodontitis,"0.521 (0.504, 0.542)","0.59 (0.57, 0.607)","0.068 (0.04, 0.091)"
GI,phecode_504-32,Chronic periodontitis,"0.523 (0.504, 0.541)","0.581 (0.56, 0.6)","0.058 (0.028, 0.083)"
GI,phecode_505,Oral cysts,"0.547 (0.518, 0.588)","0.587 (0.517, 0.627)","0.031 (-0.026, 0.094)"
GI,phecode_506,Diseases of salivary glands,"0.622 (0.61, 0.635)","0.724 (0.714, 0.736)","0.103 (0.088, 0.116)"
GI,phecode_506-3,Sialoadenitis,"0.608 (0.585, 0.626)","0.701 (0.668, 0.724)","0.091 (0.057, 0.122)"
GI,phecode_506-4,Sialolithiasis,"0.593 (0.552, 0.648)","0.681 (0.606, 0.73)","0.089 (0.011, 0.146)"
GI,phecode_506-5,Disturbances of salivary secretion,"0.642 (0.626, 0.657)","0.745 (0.733, 0.757)","0.102 (0.088, 0.12)"
GI,phecode_507,Lesions of mouth,"0.518 (0.514, 0.523)","0.624 (0.619, 0.628)","0.106 (0.099, 0.111)"
GI,phecode_507-1,Stomatitis,"0.556 (0.539, 0.571)","0.669 (0.652, 0.686)","0.112 (0.096, 0.132)"
GI,phecode_507-11,Recurrent oral aphthae [Recurrent aphthous stomatitis],"0.546 (0.524, 0.578)","0.685 (0.655, 0.707)","0.136 (0.108, 0.165)"
GI,phecode_507-3,Oral leukoplakia,"0.717 (0.7, 0.746)","0.671 (0.645, 0.7)","-0.048 (-0.081, -0.014)"
GI,phecode_508,Diseases of lips,"0.571 (0.557, 0.58)","0.665 (0.655, 0.676)","0.097 (0.082, 0.107)"
GI,phecode_509,Diseases of tongue,"0.577 (0.559, 0.596)","0.706 (0.682, 0.72)","0.125 (0.11, 0.147)"
GI,phecode_509-1,Glossitis,"0.594 (0.558, 0.619)","0.724 (0.689, 0.741)","0.13 (0.106, 0.161)"
GI,phecode_509-11,Glossodynia,"0.613 (0.585, 0.657)","0.736 (0.692, 0.756)","0.118 (0.082, 0.147)"
GI,phecode_510,Diseases of esophagus,"0.567 (0.563, 0.573)","0.655 (0.65, 0.66)","0.089 (0.084, 0.093)"
GI,phecode_510-1,Achalasia of cardia,"0.621 (0.571, 0.666)","0.749 (0.704, 0.797)","0.132 (0.065, 0.183)"
GI,phecode_510-2,Esophagitis,"0.572 (0.561, 0.578)","0.718 (0.71, 0.724)","0.147 (0.138, 0.161)"
GI,phecode_510-5,Dyskinesia of esophagus,"0.67 (0.653, 0.682)","0.789 (0.771, 0.801)","0.118 (0.099, 0.135)"
GI,phecode_510-8,Barrett's esophagus,"0.677 (0.661, 0.7)","0.748 (0.732, 0.76)","0.07 (0.053, 0.085)"
GI,phecode_511,Gastro-esophageal reflux disease,"0.562 (0.558, 0.567)","0.652 (0.647, 0.657)","0.09 (0.085, 0.095)"
GI,phecode_512,Dysphagia,"0.616 (0.61, 0.621)","0.717 (0.712, 0.723)","0.101 (0.095, 0.108)"
GI,phecode_513,Peptic ulcer,"0.594 (0.585, 0.605)","0.719 (0.71, 0.728)","0.125 (0.113, 0.135)"
GI,phecode_513-1,Esophageal ulcer,"0.617 (0.591, 0.637)","0.758 (0.738, 0.779)","0.143 (0.12, 0.163)"
GI,phecode_513-2,Gastric ulcer,"0.609 (0.598, 0.626)","0.743 (0.731, 0.757)","0.133 (0.119, 0.149)"
GI,phecode_513-3,Duodenal ulcer,"0.666 (0.644, 0.691)","0.756 (0.739, 0.772)","0.091 (0.073, 0.12)"
GI,phecode_513-4,Gastrojejunal ulcer,"0.606 (0.57, 0.644)","0.798 (0.767, 0.82)","0.193 (0.142, 0.233)"
GI,phecode_514,Gastrointestinal obstruction,"0.62 (0.611, 0.629)","0.733 (0.723, 0.743)","0.113 (0.102, 0.123)"
GI,phecode_514-1,Esophageal obstruction (Stricture and stenosis of esophagus),"0.667 (0.651, 0.685)","0.736 (0.719, 0.746)","0.07 (0.054, 0.08)"
GI,phecode_514-2,Intestinal obstruction,"0.599 (0.587, 0.61)","0.741 (0.731, 0.753)","0.142 (0.131, 0.155)"
