phecode_category,endpoint,phecode_string,Age+Sex,Age+Sex+MedicalHistory,delta
Genitourinary,phecode_618,Genital prolapse,"0.613 (0.603, 0.629)","0.737 (0.727, 0.748)","0.123 (0.109, 0.142)"
Genitourinary,phecode_618-1,Prolapse of vaginal walls,"0.625 (0.614, 0.64)","0.74 (0.731, 0.754)","0.115 (0.102, 0.135)"
Genitourinary,phecode_618-11,Cystocele,"0.65 (0.635, 0.665)","0.757 (0.747, 0.771)","0.109 (0.089, 0.127)"
Genitourinary,phecode_618-12,Rectocele,"0.639 (0.61, 0.658)","0.759 (0.742, 0.779)","0.12 (0.094, 0.155)"
Genitourinary,phecode_618-2,Uterine/Uterovaginal prolapse,"0.663 (0.646, 0.683)","0.765 (0.747, 0.782)","0.101 (0.082, 0.125)"
Genitourinary,phecode_618-5,Prolapse of vaginal vault after hysterectomy,"0.767 (0.738, 0.802)","0.81 (0.747, 0.847)","0.037 (-0.014, 0.085)"
Genitourinary,phecode_619,Noninflammatory female genital disorders,"0.546 (0.541, 0.55)","0.66 (0.655, 0.664)","0.114 (0.108, 0.123)"
Genitourinary,phecode_619-2,"Disorders of uterus, NEC","0.642 (0.637, 0.649)","0.728 (0.722, 0.733)","0.086 (0.08, 0.093)"
Genitourinary,phecode_619-3,Noninflammatory disorders of cervix,"0.56 (0.549, 0.568)","0.719 (0.711, 0.729)","0.161 (0.152, 0.167)"
Genitourinary,phecode_619-4,Noninflammatory disorders of vagina,"0.568 (0.561, 0.575)","0.699 (0.693, 0.705)","0.131 (0.121, 0.14)"
Genitourinary,phecode_619-5,Noninflammatory disorders of vulva and perineum,"0.554 (0.543, 0.565)","0.727 (0.717, 0.739)","0.174 (0.157, 0.19)"
Genitourinary,phecode_620,Dysplasia of female genital organs,"0.652 (0.64, 0.662)","0.764 (0.751, 0.772)","0.113 (0.098, 0.123)"
Genitourinary,phecode_621,Endometrial hyperplasia,"0.547 (0.514, 0.575)","0.733 (0.703, 0.748)","0.185 (0.146, 0.225)"
Genitourinary,phecode_622,Polyp of female genital organs,"0.513 (0.495, 0.532)","0.691 (0.667, 0.722)","0.179 (0.152, 0.212)"
